scholarship_name,provider,field,state,Gender,Community,Religion,Education Qualification,Income,Annual-Percentage,amount,deadline,apply_link,eligible
Adobe Research Fellowship,Adobe Systems,Technology/Design,All India,All,All,All,PhD,No Limit,Above 75,"Rs 1,00,000/year",Nov 30,https://scholarships.gov.in,1
Tata Trusts Engineering Scholarship,Tata Trusts,Engineering,All India,All,All,All,Undergraduate,Upto 3L,70-80,"Rs 60,000/year",Oct 31,https://scholarships.gov.in,1
Reliance Foundation Scholarship,Reliance Foundation,Engineering/Technology,All India,All,All,All,Undergraduate,Upto 2.5L,70-80,"Rs 2,00,000/year",Nov 30,https://rf.foundation/scholarships,1
L&T Build India Scholarship,L&T ECC,Engineering,All India,All,All,All,Undergraduate,Upto 2L,70-80,"Rs 25,000/year",Sep 30,https://scholarships.gov.in,1
NTPC Scholarship for SC ST,NTPC,Engineering,All India,All,SC/ST,All,Undergraduate,Upto 1.5L,60-70,"Rs 10,000/year",Oct 31,https://scholarships.gov.in,1
ONGC Scholarship,ONGC Foundation,Engineering/Technical,All India,All,All,All,Undergraduate,Upto 2L,60-70,"Rs 48,000/year",Sep 30,https://scholarships.gov.in,1
BPCL Scholarship,BPCL,Engineering/Technical,All India,All,All,All,Undergraduate,Upto 2L,60-70,"Rs 25,000/year",Oct 31,https://scholarships.gov.in,1
IOCL Scholarship,IOCL,Engineering,All India,All,SC/ST,All,Undergraduate,Upto 1.5L,60-70,"Rs 20,000/year",Oct 31,https://scholarships.gov.in,1
Intel Fellowship India,Intel Corp,CS/Engineering,All India,All,All,All,PhD,No Limit,Above 75,"Rs 3,00,000/year",Nov 30,https://scholarships.gov.in,1
Infosys Foundation Scholarship,Infosys Foundation,Technology,All India,All,All,All,Undergraduate,Upto 2.5L,70-80,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
Wipro Applying Thought Scholarship,Wipro Ltd,Engineering/CS,All India,All,All,All,Undergraduate,No Limit,80-90,"Rs 30,000/year",Oct 31,https://scholarships.gov.in,1
TCS Digital Scholarship,TCS,Technology,All India,All,All,All,Undergraduate,Upto 3L,70-80,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
HCL Grant,HCL Technologies,Technology,All India,All,All,All,Undergraduate,Upto 2L,70-80,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
Cognizant Foundation Scholarship,Cognizant Foundation,Technology,All India,All,All,All,Undergraduate,Upto 2.5L,60-70,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
Qualcomm India Scholarship,Qualcomm India,Electrical/CS,All India,Female,All,All,Undergraduate,No Limit,Above 75,"Rs 1,00,000/year",Dec 31,https://scholarships.gov.in,1
Texas Instruments India Scholarship,Texas Instruments,Electronics/CS,All India,Female,All,All,Undergraduate,No Limit,Above 75,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
Siemens India Scholarship,Siemens,Engineering,All India,All,All,All,Undergraduate,Upto 3L,70-80,"Rs 60,000/year",Oct 31,https://scholarships.gov.in,1
Bosch Scholarship,Bosch India,Engineering,All India,All,All,All,Undergraduate,Upto 3L,70-80,"Rs 40,000/year",Oct 31,https://scholarships.gov.in,1
Bar Council of India Scholarship,Bar Council of India,Law,All India,All,All,All,Undergraduate,Upto 3L,60-70,"Rs 20,000/year",Nov 30,https://scholarships.gov.in,1
National Law School Scholarship,NLS Bangalore,Law,All India,All,SC/ST/OBC,All,Undergraduate,Upto 2L,Above 75,Full Fee Waiver,Jul 31,https://scholarships.gov.in,1
Trilegal Scholarship,Trilegal Law Firm,Law,All India,All,All,All,Undergraduate,No Limit,Above 75,"Rs 1,00,000/year",Dec 31,https://scholarships.gov.in,1
AZB & Partners Scholarship,AZB Partners,Law,All India,Female,All,All,Undergraduate,No Limit,Above 75,"Rs 75,000/year",Dec 31,https://scholarships.gov.in,1
CLAT Legal Aid Scholarship,CLAT Consortium,Law,All India,All,SC/ST,All,Undergraduate,Upto 2.5L,Above 60,Full Fee Waiver,Jul 31,https://scholarships.gov.in,1
Law Alumni Scholarship NLU Delhi,NLU Delhi,Law,All India,All,All,All,Postgraduate,No Limit,Above 75,"Rs 50,000/year",Oct 31,https://scholarships.gov.in,1
Human Rights Scholarship NHRC,NHRC India,Law/Human Rights,All India,All,All,All,Postgraduate,No Limit,Above 70,"Rs 30,000/year",Dec 31,https://scholarships.gov.in,1
Women in Law Scholarship,ILAW Foundation,Law,All India,Female,All,All,Undergraduate,Upto 5L,Above 60,"Rs 40,000/year",Nov 30,https://scholarships.gov.in,1
IIM Scholarship SC ST,IIM Ahmedabad/Bangalore/Calcutta,Management,All India,All,SC/ST,All,Postgraduate,Upto 3L,Above 60,Full Tuition Fee,Jul 31,https://scholarships.gov.in,1
Narotam Sekhsaria Foundation,NSF,Management/Law/Medicine,All India,All,All,All,Postgraduate,No Limit,Above 75,"Rs 4,00,000/year",Mar 31,https://scholarships.gov.in,1
KC Mahindra Scholarship,KC Mahindra Trust,Management,All India,All,All,All,Postgraduate,Upto 3L,Above 60,"Rs 1,50,000/year",Nov 30,https://scholarships.gov.in,1
HDFC Badhte Kadam Scholarship,HDFC Bank,Commerce/Management,All India,All,All,All,Undergraduate,Upto 2.5L,70-80,"Rs 15,000/year",Nov 30,https://www.hdfcbank.com,1
Axis Bank Foundation Scholarship,Axis Bank,Commerce/Finance,All India,All,All,All,Undergraduate,Upto 2.5L,60-70,"Rs 30,000/year",Oct 31,https://scholarships.gov.in,1
ICICI Foundation Scholarship,ICICI Foundation,Commerce/Finance,All India,All,All,All,Undergraduate,Upto 2L,60-70,"Rs 25,000/year",Nov 30,https://scholarships.gov.in,1
Kotak Kanya Scholarship,Kotak Education Foundation,Commerce,All India,Female,All,All,Undergraduate,Upto 3.5L,70-80,"Rs 1,50,000/year",Nov 30,https://scholarships.gov.in,1
Bajaj Capital Scholarship,Bajaj Capital,Finance/Commerce,All India,All,All,All,Undergraduate,Upto 3L,60-70,"Rs 20,000/year",Oct 31,https://scholarships.gov.in,1
Deloitte Foundation Scholarship,Deloitte India,Finance/CA,All India,All,All,All,Undergraduate,No Limit,Above 75,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
KPMG India Scholarship,KPMG India,Finance/CA,All India,All,All,All,Undergraduate,No Limit,Above 75,"Rs 75,000/year",Dec 31,https://scholarships.gov.in,1
NID Scholarship,National Institute of Design,Design,All India,All,SC/ST/OBC,All,Undergraduate,Upto 2.5L,Above 60,"Rs 60,000/year",Jul 31,https://scholarships.gov.in,1
NIFT Scholarship,National Institute of Fashion Technology,Design/Fashion,All India,All,SC/ST/OBC,All,Undergraduate,Upto 2.5L,Above 60,"Rs 45,000/year",Jul 31,https://scholarships.gov.in,1
Sangeet Natak Akademi Award,SNA,Performing Arts,All India,All,All,All,Undergraduate,No Limit,Above 60,"Rs 25,000/year",Dec 31,https://scholarships.gov.in,1
Lalit Kala Akademi Fellowship,Lalit Kala Akademi,Fine Arts,All India,All,All,All,Postgraduate,No Limit,Above 60,"Rs 1,00,000/year",Dec 31,https://scholarships.gov.in,1
FTII Scholarship,Film and TV Institute India,Filmmaking/Media,All India,All,SC/ST/OBC,All,Diploma,Upto 2L,60-70,"Rs 40,000/year",Aug 31,https://scholarships.gov.in,1
Doordarshan Training Scholarship,Prasar Bharati,Media/Journalism,All India,All,All,All,Postgraduate,Upto 3L,Above 60,"Rs 20,000/year",Oct 31,https://scholarships.gov.in,1
Press Institute Scholarship,PIJ Chennai,Journalism,All India,All,SC/ST,All,Postgraduate,Upto 2L,Above 60,"Rs 25,000/year",Sep 30,https://scholarships.gov.in,1
Animation Industry Scholarship,ASIFA India,Animation/Design,All India,All,All,All,Diploma,Upto 3L,60-70,"Rs 30,000/year",Nov 30,https://scholarships.gov.in,1
Photography Grant,Indian Photography Foundation,Photography,All India,All,All,All,Diploma,No Limit,Above 60,"Rs 20,000/year",Dec 31,https://scholarships.gov.in,1
Content Creator Scholarship,Digital India Foundation,Digital Media,All India,All,All,All,Undergraduate,Upto 3L,Above 60,"Rs 25,000/year",Nov 30,https://scholarships.gov.in,1
AAI Sports Scholarship,Airports Authority India,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 25,000/year",Sep 30,https://scholarships.gov.in,1
ONGC Sports Scholarship,ONGC Foundation,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 48,000/year",Sep 30,https://scholarships.gov.in,1
SAI Excellence Scholarship,Sports Authority India,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 1,00,000/year",Dec 31,https://scholarships.gov.in,1
TOPS Olympic Scholarship,Sports Ministry India,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Upto Rs 5,00,000",Ongoing,https://scholarships.gov.in,1
National Sports Talent Contest,SAI,Sports,All India,All,All,All,Class 10,No Limit,Above 60,"Rs 1,500/month",Ongoing,https://scholarships.gov.in,1
Railway Sports Quota Scholarship,Indian Railways,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 20,000/year",Oct 31,https://scholarships.gov.in,1
Army Sports Scholarship,Indian Army,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 30,000/year",Oct 31,https://scholarships.gov.in,1
Cricket Scholarship BCCI,BCCI Foundation,Cricket,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 1,50,000/year",Nov 30,https://scholarships.gov.in,1
Khelo India Scholarship,Ministry of Youth Affairs,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 5,00,000/year",Dec 31,https://scholarships.gov.in,1
Para Sports Scholarship,Paralympic Comm India,Para Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 75,000/year",Dec 31,https://scholarships.gov.in,1
Wrestling Federation Scholarship,WFI India,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
Badminton Scholarship BAI,BAI India,Sports,All India,All,All,All,Undergraduate,No Limit,50-60,"Rs 60,000/year",Nov 30,https://scholarships.gov.in,1
Bhabha Atomic Research Scholarship,BARC,Physics/Nuclear,All India,All,All,All,Undergraduate,No Limit,Above 75,"Rs 15,000/month",Dec 31,https://scholarships.gov.in,1
ISRO Young Scientist Scholarship,ISRO,Space Science/Engineering,All India,All,All,All,Undergraduate,No Limit,Above 75,"Rs 20,000/year",Dec 31,https://scholarships.gov.in,1
IISc Research Fellowship,IISc Bangalore,Science/Engineering,All India,All,All,All,Postgraduate,No Limit,Above 75,"Rs 35,000/month",Jun 30,https://scholarships.gov.in,1
JNCASR Fellowship,JNCASR,Science Research,All India,All,All,All,PhD,No Limit,Above 75,"Rs 35,000/month",Jun 30,https://scholarships.gov.in,1
NCBS Fellowship,NCBS Bangalore,Biological Sciences,All India,All,All,All,PhD,No Limit,Above 75,"Rs 35,000/month",Jun 30,https://scholarships.gov.in,1
TIFR Graduate Fellowship,TIFR Mumbai,Science/Mathematics,All India,All,All,All,PhD,No Limit,Above 75,"Rs 37,000/month",Jun 30,https://scholarships.gov.in,1
IMSc Fellowship,IMSc Chennai,Mathematics,All India,All,All,All,PhD,No Limit,Above 75,"Rs 35,000/month",Jun 30,https://scholarships.gov.in,1
IIT Research Scholarship,IIT Bombay/Delhi/Madras,Engineering/Science,All India,All,All,All,PhD,No Limit,Above 75,"Rs 37,000/month",Dec 31,https://scholarships.gov.in,1
Ramanujan Fellowship,SERB,Mathematics,All India,All,All,All,PhD,No Limit,Above 75,"Rs 1,35,000/month",Mar 31,https://scholarships.gov.in,1
Swarna Jayanti Fellowship,DST,Science/Engineering,All India,All,All,All,PhD,No Limit,Above 75,"Rs 25,000/month",Dec 31,https://scholarships.gov.in,1
Young Scientist Award DST,DST,Science,All India,All,All,All,Postgraduate,No Limit,Above 75,"Rs 30,000/year",Dec 31,https://scholarships.gov.in,1
NASI Young Scientist Scholarship,NASI Allahabad,Science,All India,All,All,All,Postgraduate,No Limit,Above 75,"Rs 25,000/year",Dec 31,https://scholarships.gov.in,1
National Teacher Fellowship NCTE,NCTE India,Education/B.Ed,All India,All,All,All,Postgraduate,No Limit,Above 60,"Rs 15,000/year",Nov 30,https://scholarships.gov.in,1
NCERT Scholarship,NCERT India,Education/Research,All India,All,All,All,Postgraduate,No Limit,Above 60,"Rs 20,000/year",Dec 31,https://scholarships.gov.in,1
NIEPA Fellowship,NIEPA,Education Administration,All India,All,All,All,PhD,No Limit,Above 70,"Rs 28,000/month",Dec 31,https://scholarships.gov.in,1
Fulbright Teaching Excellence Award,USIEF India,Teaching,All India,All,All,All,Postgraduate,No Limit,Above 60,Full Scholarship,Dec 31,https://scholarships.gov.in,1
RIE Scholarship,RIE NCERT,Teacher Education,All India,All,SC/ST,All,Undergraduate,Upto 2L,Above 60,"Rs 10,000/year",Oct 31,https://scholarships.gov.in,1
DIET Faculty Scholarship,SCERT India,Teacher Training,All India,All,All,All,Undergraduate,Upto 3L,Above 60,"Rs 15,000/year",Nov 30,https://scholarships.gov.in,1
Primary Teacher Scholarship,State SSA,Primary Education,All India,Female,All,All,Undergraduate,Upto 2.5L,50-60,"Rs 12,000/year",Oct 31,https://scholarships.gov.in,1
NIMHANS Research Fellowship,NIMHANS Bangalore,Psychology/Psychiatry,All India,All,All,All,PhD,No Limit,Above 75,"Rs 35,000/month",Jun 30,https://scholarships.gov.in,1
IPA Young Psychologist Award,Indian Psychological Assn,Psychology,All India,All,All,All,Postgraduate,No Limit,Above 70,"Rs 25,000/year",Dec 31,https://scholarships.gov.in,1
ICMR Mental Health Fellowship,ICMR,Mental Health,All India,All,All,All,PhD,No Limit,Above 75,"Rs 37,000/month",Dec 31,https://scholarships.gov.in,1
RCI Scholarship for Disabled,Rehabilitation Council India,Psychology/Special Ed,All India,All,SC/ST/OBC,All,Postgraduate,Upto 3L,Above 60,"Rs 20,000/year",Oct 31,https://scholarships.gov.in,1
WHO Mental Health Grant,WHO India,Public Mental Health,All India,All,All,All,Postgraduate,No Limit,Above 70,"Rs 40,000/year",Sep 30,https://scholarships.gov.in,1
TISS Fellowship,TISS Mumbai,Social Work/Psychology,All India,All,SC/ST,All,Postgraduate,Upto 2L,Above 60,Full Fee Waiver,Mar 31,https://scholarships.gov.in,1
MahaDBT VJNT Scholarship,MahaDBT / Maharashtra,All,Maharashtra,All,VJNT,All,Undergraduate,Upto 2.5L,50-60,Tuition + Maintenance,Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT SBC Scholarship,MahaDBT / Maharashtra,All,Maharashtra,All,SBC,All,Undergraduate,Upto 2.5L,50-60,Tuition + Maintenance,Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT OBC Post Matric,MahaDBT / Maharashtra,All,Maharashtra,All,OBC,All,Undergraduate,Upto 1L,50-60,"Rs 10,000/year",Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT EBC Scholarship,MahaDBT / Maharashtra,All,Maharashtra,All,EBC,All,Undergraduate,Upto 1L,50-60,"Rs 8,000/year",Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT NT-B Scholarship,MahaDBT / Maharashtra,All,Maharashtra,All,NT-B,All,Undergraduate,Upto 2.5L,50-60,Tuition Fee,Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT NT-C Scholarship,MahaDBT / Maharashtra,All,Maharashtra,All,NT-C,All,Undergraduate,Upto 2.5L,50-60,Tuition Fee,Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT NT-D Scholarship,MahaDBT / Maharashtra,All,Maharashtra,All,NT-D,All,Undergraduate,Upto 2.5L,50-60,Tuition Fee,Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT SC Post Matric,MahaDBT / Maharashtra,All,Maharashtra,All,SC,All,Undergraduate,Upto 2.5L,50-60,Tuition + Exam Fee,Nov 30,https://mahadbt.maharashtra.gov.in,1
MahaDBT ST Post Matric,MahaDBT / Maharashtra,All,Maharashtra,All,ST,All,Undergraduate,Upto 2.5L,50-60,Tuition + Exam Fee,Nov 30,https://mahadbt.maharashtra.gov.in,1
Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship,Maharashtra Govt,All,Maharashtra,All,All,All,Undergraduate,No Limit,90-100,"Rs 15,000/year",Nov 30,https://mahadbt.maharashtra.gov.in,1
Swadhar Greh Scheme,Maharashtra Social Welfare,All,Maharashtra,All,SC,All,Undergraduate,Upto 2.5L,50-60,"Rs 51,000/year",Oct 31,https://sjsa.maharashtra.gov.in,1
Pandit Din Dayal Upadhyay Scholarship,Maharashtra,All,Maharashtra,All,EWS,All,Undergraduate,Upto 1.5L,60-70,"Rs 10,000/year",Nov 30,https://scholarships.gov.in,1
Mahatma Jyotiba Phule Scholarship,Maharashtra Govt,All,Maharashtra,All,OBC,All,Undergraduate,Upto 2L,60-70,"Rs 12,000/year",Nov 30,https://mahadbt.maharashtra.gov.in,1
Dr Babasaheb Ambedkar Swadhaar Yojana,Maharashtra,All,Maharashtra,All,SC/NavBoudh,All,Undergraduate,No Limit,50-60,"Rs 51,000/year",Oct 31,https://scholarships.gov.in,1
Panjabrao Deshmukh Agriculture Scholarship,Maharashtra Agri Dept,Agriculture,Maharashtra,All,All,All,Undergraduate,Upto 2.5L,50-60,"Rs 25,000/year",Oct 31,https://scholarships.gov.in,1
VJNT Free Hostel Facility,Maharashtra Govt,All,Maharashtra,All,VJNT,All,Undergraduate,Upto 1L,50-60,Free Hostel,Nov 30,https://scholarships.gov.in,1
MahaDBT Minority Post Matric,MahaDBT / Maharashtra,All,Maharashtra,All,Minority,All,Undergraduate,Upto 2L,50-60,"Rs 15,000/year",Nov 30,https://mahadbt.maharashtra.gov.in,1
Maharashtra Engineering Entrance Scholarship,DTE Maharashtra,Engineering,Maharashtra,All,All,All,Undergraduate,No Limit,Above 75,"Rs 20,000/year",Nov 30,https://scholarships.gov.in,1
Savitribai Phule Girls Scholarship,Maharashtra Govt,All,Maharashtra,Female,All,All,Undergraduate,Upto 3L,50-60,"Rs 20,000/year",Nov 30,https://scholarships.gov.in,1
Dr Panjabrao Deshmukh Vasatigruh Scholarship,Maharashtra,All,Maharashtra,All,OBC,All,Undergraduate,Upto 2L,50-60,"Rs 38,000/year",Nov 30,https://mahadbt.maharashtra.gov.in,1
Eklavya Scholarship Maharashtra,Maharashtra Tribal,All,Maharashtra,All,ST,All,Undergraduate,Upto 2L,50-60,"Rs 15,000/year",Nov 30,https://scholarships.gov.in,1
MahaDBT Research Fellowship,MahaDBT,Research/PhD,Maharashtra,All,All,All,PhD,No Limit,Above 70,"Rs 25,000/month",Dec 31,https://mahadbt.maharashtra.gov.in,1
Maharashtra Science Academy Fellowship,MSA,Science,Maharashtra,All,All,All,Postgraduate,No Limit,Above 75,"Rs 15,000/year",Dec 31,https://scholarships.gov.in,1
MHRD Scholarship Maharashtra Toppers,Maharashtra Education,All,Maharashtra,All,All,All,Undergraduate,No Limit,90-100,"Rs 12,000/year",Nov 30,https://scholarships.gov.in,1
Chhatrapati Shivaji Maharaj Scholarship,Maharashtra,All,Maharashtra,All,All,All,Undergraduate,Upto 1L,80-90,"Rs 5,000/year",Nov 30,https://scholarships.gov.in,1
Maharashtra Minority Welfare Scholarship,MMSW,All,Maharashtra,All,Minority,Muslim,Undergraduate,Upto 2.5L,50-60,"Rs 15,000/year",Oct 31,https://scholarships.gov.in,1
DTE Maharashtra Technical Scholarship,DTE Maharashtra,Engineering/Pharmacy,Maharashtra,All,All,All,Undergraduate,No Limit,Above 75,"Rs 10,000/year",Oct 31,https://scholarships.gov.in,1
Chhava Scholarship Maharashtra,Maharashtra Govt,All,Maharashtra,All,SC/ST/OBC,All,Class 12,No Limit,Above 60,"Rs 5,000/year",Oct 31,https://scholarships.gov.in,1
Pune Municipal Corporation Scholarship,PMC Pune,All,Maharashtra,All,All,All,Undergraduate,Upto 3L,60-70,"Rs 10,000/year",Oct 31,https://scholarships.gov.in,1
Mumbai University Excellence Scholarship,University of Mumbai,All,Maharashtra,All,All,All,Undergraduate,No Limit,90-100,"Rs 25,000/year",Oct 31,https://scholarships.gov.in,1
Nashik Scholars Programme,Nashik District,All,Maharashtra,All,All,All,Undergraduate,Upto 2.5L,80-90,"Rs 15,000/year",Nov 30,https://scholarships.gov.in,1
Nagpur University Merit Award,RTM Nagpur University,All,Maharashtra,All,All,All,Undergraduate,No Limit,90-100,"Rs 10,000/year",Nov 30,https://scholarships.gov.in,1
Aurangabad Divisional Scholarship,Govt of Maharashtra,All,Maharashtra,All,All,All,Undergraduate,Upto 2L,70-80,"Rs 12,000/year",Nov 30,https://scholarships.gov.in,1
Kolhapur Shahu Memorial Scholarship,Maharashtra,All,Maharashtra,All,OBC/SC,All,Undergraduate,Upto 2L,60-70,"Rs 15,000/year",Nov 30,https://scholarships.gov.in,1
Maharashtra Cultural Scholarship,Directorate of Cultural Affairs,Arts/Culture,Maharashtra,All,All,All,Undergraduate,No Limit,Above 60,"Rs 10,000/year",Dec 31,https://scholarships.gov.in,1
