name_of_company,college_name,region,year,source,salary
Godrej & Boyce Mfg.Co.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Greenity Software Solutions Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Grindwell Norton Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Gupshup Technology India Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Gvk Mumbai International Airport Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Gvr India Pvt.Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Halftick Infoservices Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Hansa Cequity,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Hourglass Research,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Icici Pru Life,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Icreate,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Ifb Industries Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Imaginarium India Pvt.Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Indus Momentus,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Indus Valley Partners,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Indusgeeks,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Infosys Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Inscripts India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Interactive Brokers India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Jacobs Engineering India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Jaro Education,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Jp Morgan Chase,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Jswâ Steelâ Coated Products Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Kalyani Forge Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Kansai Nerolac Â Paints Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Kongo Educational Services Pvt Ltd,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Konnectinsights,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
L & T Infotech Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
L & T Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
L & T Technology Services Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Mahindra & Mahindra Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Majesco,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Mastek Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Medianet,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Megachip Instrumentation Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Microsoft,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Mitr Learning,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Morgan Stanley Capital International,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Mu Sigma,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Neebal Technologies Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Neosoft Technologies,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Nerolac Paints Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Netmagicâ  Solutionsâ  Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Newgen Software Technologies Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Nikhil Comfort,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Nseit,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Nucsoft Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Oracle India Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Performics.Convonix,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Pharmeasy,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Pratap Plastics,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Purplle,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Rave Technologies Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Reliance Industries Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Reliance Jio Infocomm Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Research Wire,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Reshamsingh & Co. Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Riddhim Siddhim Steel (I) Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Rooptelsonic Ultrasonix Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Saint Gobain India Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Sanmar Engineering Technologies Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Seclore Technology Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Stellar Value Chain,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Swan Environmental Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Tata Communications Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Tata Consultancyâ  Services Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Technip India Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Tecnimont Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Teradata Corporation,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Think & Learn - ByjuâS,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Think Analytics,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Thyssenkrupp Industrial Solutions India Pvt.Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Toyo Engineering,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Tranzact Pvt Ltd,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Uhde India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Vision Mechatronics,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Vodafone Shared Services India,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Voltas Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Vphrase,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Welspun Syntex Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Wisdmlabs,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Wissen Technology,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Yodlee Infotech Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Zs Associates,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Zycus Infotech Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Cavinkare,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Nsdl,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Schneider,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Infosys,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Fintellix,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Netmagic Solutions,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Ugam Solutions,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Cybermarine,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Cmss,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Tcs,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Mahanagar Gas Ltd.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Nsdl,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Fractal Analytics,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Just Dial,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Reliance Jio,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Technimont Icb,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Mu Sigma,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Nucsoft,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Vistex Technologies,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Sanmar Technologies,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Finaux Tech.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Zycus,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Mitsubishi Elevators,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Logixal,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Altiussoft Solutions,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Qube Cinemak,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Tech Nrb Bearings,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
E-Emphasis,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Techint Hypertherm,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Tcrc Group,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Alpha Plus Technologies,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
National Stock Exchange It,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Persistent Tech,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Paramatrix Solutions,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Ibm Technologies,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Sanmar Technologies,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Indian Army,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Endurance International,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Quantiphi Analytics,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Bitwise,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
L & T Ltd.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Merilent,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
The Oberoi Group,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Vistaar Technologies,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Zeus Learning,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Elgi,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Quinnox Tech.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Mirraw Online Services Pvt. Ltd.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Amazon,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Qad Info. Tech.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Bristle Cone I Ltd.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Vdart Software,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Syntel Ltd.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
L &T Info Tech,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Indian Navy,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Netcore Solutions,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Capgemini,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Indiaideas,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Majesco Software Solutions,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Interactcrm,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Cexwebuy Entertainment,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Think & Learn,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Prodio Design Works,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Seclore Technologies,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
J-Robotics,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Deltecs Info. Tech,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Burns & Mcdonnells,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Tcrc Group,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Rave Tech.,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Escan Antivirus,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Cex Webuy Entertainment,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Antimu,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Media .Net,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Milestone Software Solutions,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
Sogosurvey,Manjara Charitable Trusts Rajiv Gandhi Institute Of Technology,Mumbai,2018.0,placement_companies.csv,
3Dplm Software Solutions,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
3I-Infotech,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
A Forserve Ltd.,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Accel Frontline,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Acty Systems,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Advance Computer Services,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Ag Technologies,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Allerin,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Amazon,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Amdoc,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Angha Engineer,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Ariston Capital,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Asawa Insulation Pvt. Ltd.,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Atidan Technologies,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Atos Origin,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Bajaj Allianz,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Balmer Lawrie,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Bently India Pvt. Ltd.,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Bitwise,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Bosch,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Bridgelabz,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Canon,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Capgemini,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Chembond Chemicals Ltd.,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Clear Secured Servises Pvt. Ltd.,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Clover Infotech,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
Cmc,Pillai HOC College of Engineering and Technology,Navi Mumbai,2018.0,placement_companies.csv,
