gender,ug_course,ug_specialization,interests,skills,cgpa_percentage,job_title,source,linguistic,musical,bodily,logical,spatial,interpersonal,intrapersonal,naturalist
Male,BE,Structural Engineeeing ,Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS ",74.33,Assistant Professor,career_recommender,,,,,,,,
Male,M.Tech,Mining,Teaching;Technology;Industires,Hardware skills,92,Mine Engineer,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",73.15,Mechanical Design Engineer,career_recommender,,,,,,,,
Male,B.Com,Accountancy ,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,80,Finance Manager,career_recommender,,,,,,,,
Male,BCA,"C,c++, java",Teaching,Active Listening;Teaching,69,Teaching,career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,Market reserach,Business Knowledge;Civil & Criminal Law;Product knowledge,74.955,National Head,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Design,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python,73.15,Field Engineer,career_recommender,,,,,,,,
Male,BBA,Management,Financial Analysis,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services,73.625,Investment Banking Associate,career_recommender,,,,,,,,
Male,BE,Automobile Engineering,"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",84.55,Sales Executive,career_recommender,,,,,,,,
Female,BE,Electronics and Communication Engineering,Embedded design,"Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT",81.795,VLSI Digital Design,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Research,"Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++",75.05,Production manager,career_recommender,,,,,,,,
Male,BE,Electronics and Communication Engineering,Technology,NO,66.5,Software Developer,career_recommender,,,,,,,,
Male,B.Com,Sales and marketing,Sales/Marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,55,Life insurance,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Software Job,NO,76,Developer,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Financial Analysis;Technology;Trading;Data analytics,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,76.475,Full stack developer,career_recommender,,,,,,,,
Female,B.Pharmacy,Pharmacy,Research,"Active Listening, Creativity Skills, Team work, Logical Skills",72,Process analyst,career_recommender,,,,,,,,
Female,B.Com,Commerce,Financial Analysis,"Accounting Skills, Cost Accounting",51.3,Housewife,career_recommender,,,,,,,,
Female,B.Sc,Interior design,Home interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,74,Junior interior designer,career_recommender,,,,,,,,
Male,B.Com,Commerce,Take risk for Profits,"Business Knowledge, Product Knowledge, Team work, Sales",57,Tele-caller,career_recommender,,,,,,,,
Female,B.Tech,Information Technology,Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",65.55,HR,career_recommender,,,,,,,,
Male,B.Sc,Chemistry,Government jobs,Sports,74.1,Pc,career_recommender,,,,,,,,
Male,Bca,Computer Applications,Technology,"AI, ML, Python, Java, SQL, Tableau",76,Student (Unemployed),career_recommender,,,,,,,,
Male,BE,Automobile Engineering,"Research, Take risk for Profits, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",76,Design engineer,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,"Information Technology,Blockchain","
Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2",74.67,DevOps Engineer,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Software Job,"Full stack, java, python, reactjs",74.1,Software developer,career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,88.35,Production Engineer,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Software Job,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",73.15,Software engineer 1,career_recommender,,,,,,,,
Male,B.Com,Commerce ,Financial Analysis,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,63,Sales manager,career_recommender,,,,,,,,
Male,B.Sc,Physics,Technology,"Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading",68.685,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),74.1,Mechanical Design Engineer,career_recommender,,,,,,,,
Male,M.Tech,Electronics and Communication Engineering,Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,87,Junior Software Engineer,career_recommender,,,,,,,,
Female,B.Tech,Computer Science Engineering,IT fieldÂ ,"Python, Java, SQL, Programming, Problem Solving skills",69,MappingÂ,career_recommender,,,,,,,,
Female,B.Sc,Information TechNAlogy,"Research, Technology","Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication",89.87,Student (Unemployed),career_recommender,,,,,,,,
Male,BE,Industrial Engineering ,Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,72,Functional Consultant,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology;Supply Chain Analysis,Business Knowledge;Negotiation skills;Product knowledge;Sales,60.8,Associate SCM,career_recommender,,,,,,,,
Male,Diploma,High pressure die casting ,Technology,Designing skills,70,Engineer,career_recommender,,,,,,,,
Male,B.Com,Accounting&Finance,Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,83.03,Company Secretary,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering ,Research;Technology;Data analytics;Design,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,68.02,Programmer Analyst Trainee (PAT),career_recommender,,,,,,,,
Female,B.Tech,Computer Science Engineering,Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,68.4,Programmer,career_recommender,,,,,,,,
Male,B.E,Information Technology,"Technology, Understand Human Behaviour, Understand Human Body","Analytic Thinking, Gathering Informing, SQL, Risk Managing",76,Risk analystÂ,career_recommender,,,,,,,,
Male,B.Tech,Mathematics,"Teaching, Technology","Analytic Thinking, Logical Skills, C++, Writing",71.25,Student (Unemployed),career_recommender,,,,,,,,
Female,BCA,Computer Applications,Technology,Active Listening;Negotiation skills,71.25,Data Entry,career_recommender,,,,,,,,
Male,B.Tech,Information Technology,Technology,"Java, SQL, Programming",76,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Software Job,stack web development,78.85,Associate software engineer,career_recommender,,,,,,,,
Male,BE,Electrical and Electronics Engineering,All fields related to Data science.;Machine Learning;Sports Industry,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL,73.53,Data Scientist-Intern,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,73.625,Data Analyst,career_recommender,,,,,,,,
Male,MBA,Sales and Marketing,Sales/Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,72,Regional Sales Manager,career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,"Product Life cycle Management,","Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;
",72.675,Product Manager,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Technology,"
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control",79.8,Engineer-Power Electronics,career_recommender,,,,,,,,
Female,B.Sc,Computer science ,Technology;Data analytics,Programming Language skills;People management;Communication skills;Editing;C++;SQL,78,Publishing executive,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering ,Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,71,Senior software engineer,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Technology;Supply chain analysis,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,85,Techno commercial,career_recommender,,,,,,,,
Male,Law Hons  ,Statistics,Understand human behaviour,Active Listening;People management;Civil & Criminal Law;Negotiation skills;Machine Learning skills,61.4,Advocate,career_recommender,,,,,,,,
Male,B.Tech,Criminal manual,"Research, Sales/Marketing, Technology, Entrepreneurship","Analytic Thinking, Product Knowledge, Team work, Logical Skills",68.4,Sales Executive,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Research;Teaching;Technology;Trading,Accounting Skills;Active Listening;Communication skills;Product knowledge;Problem Solving skills,52,Electrician,career_recommender,,,,,,,,
Male,BE,Electrical and Electronics Engineering,Research;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Data scientist;Market reserach;Social media marketing;Industires,Programming Language skills;Critical Thinking;Analytical Skills;Problem Solving skills;Python;Medical knowledge;MATLAB;Teaching,62.26,Assistant Professor,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Market reserach;SAP Consultant in MM;Project Management,Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Risk management skills;Presentation Skills,80.75,Project Manager,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Data analytics,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Social Media Marketing;R;Python;Artificial Intelligence,63.9,Mechanical design engineer,career_recommender,,,,,,,,
Male,B.Tech,Mechanical engineering ,"Trading,Web Designing,Content Writing,Web development,Social media marketing",C++;Hadoop;Java;SQL;Core Java;JavaScript;PL/SQL;Informatica,80.37,System Engineer,career_recommender,,,,,,,,
Female,B.Com,Computer Science Engineering,Financial Analysis,Accounting Skills,91.2,Student (Unemployed),career_recommender,,,,,,,,
Male,B.E,Accountancy,Entrepreneurship,"Active Listening, Python, Gathering Informing, Programming",88.35,Mechanical Engineer,career_recommender,,,,,,,,
Female,Law Hons,Agriculture,"Financial Analysis;Social causes;Information Technology;Agriculture, services;Excel",Accounting Skills;Finance related skills;Civil & Criminal Law;Negotiation skills;Risk management skills,67,CS,career_recommender,,,,,,,,
Female,B.Tech,Company law,Data Analytics,"JavaScript,Python",73.15,Software Developer,career_recommender,,,,,,,,
Female,B.Tech,Physics,Data Analytics,Javascript,65.55,Associate Software Engineer,career_recommender,,,,,,,,
Female,B.Tech,Computer Science Engineering,Technology,Python,70.3,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Tech,Computer Applications,Technology;Information Technology ,Hardware skills;Programming Language skills;Communication skills;Problem Solving skills;Risk management skills;Writing skills;Presentation Skills;Linux;Python;Java;Cloud Computing,71.25,Software Engineer,career_recommender,,,,,,,,
Female,B.Com,Computer Science Engineering,Financial Analysis,"
Teamwork;Time Management;Company Secretarial Work;Legal Compliance;Communication;TeamLeadership;Interpersonal Skills;Presentations;Interpersonal Communication;Companies Act;Indirect Taxation",67.45,Company Secretary,career_recommender,,,,,,,,
Male,B.Tech,Accounting&Finance,Teaching;Technology;Data analytics;Govt. Job;Data scientist;All fields related to Data science.;Design;Machine Learning;Navy Defence related;Oil and Gas,Accounting Skills;Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Problem Solving skills;Python;Teaching,80.275,Operation & Maintenance Engineer,career_recommender,,,,,,,,
Male,BBA,Electrical Machines,Financial Analysis,Financial Modeling;Financial Analysis;,84.55,Financial Analyst,career_recommender,,,,,,,,
Male,B.Tech,Finance,"Research,Understand human body,BioTechnology","
Microbiology; cell culture ;molecular Biology; bioprocess;
Katte virus",83.22,Research Associate,career_recommender,,,,,,,,
Male,B.E,Biotechnology,Data Analytics,"Analytic Thinking, SQL, Oracle, Communication Skills, Work under Pressure, Leadership, Excel, Interpersonal Skills, Problem Solving skills, Reporting",88.16,Data Analyst,career_recommender,,,,,,,,
Prefer not to say,B.Com,Automobile Engineering,Information Technology,Cloud Computing,47,Trainee Developer,career_recommender,,,,,,,,
Female,B.Com,Accountancy,Sales/Marketing,Accounting Skills,76,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Data Structures & Algorithm,Technology,Gathering Informing,73.15,Student (Unemployed),career_recommender,,,,,,,,
Female,Biotechnology,Biotechnology,"Research, Technology, Entrepreneurship, Understand Human Body","Active Listening, Critical Thinking, Analytic Thinking, Negotiation Skills, Presentation Skills, Problem Solving skills, Writing, Observation Skills, Subject Knowledge",87,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Com,Commerce,Entrepreneurship,"Accounting Skills, Cost Accounting, Excel, Writing",67.45,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Com,Commerce,Take risk for Profits,Accounting Skills,77,Business Analyst,career_recommender,,,,,,,,
Male,B.M.S,ManagementÃÅ ,Sales/Marketing,"Business Knowledge, Communication Skills, Negotiation Skills, Work under Pressure, Leadership, Creativity Skills, Market Study, Excel, Writing, Reading, Sales",0,Sr. Territory sales managerÂ,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,Machine Learning,Java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in Java ;design and prototype in Adobe XD ;hTML; CSS;JavaScript for web developers; responsive web design,84.55,Full Stack Developer,career_recommender,,,,,,,,
Male,BALLB,Law,Social Justice;Social causes,Civil & Criminal Law,74.1,Lawyer-Forensic Investigations,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Supply Chain Analysis;Content Writing;Data analytics,Accounting Skills;Active Listening;Programming Language skills;Gathering Information;Wealth Management;Content creation,53,Assistent Manger,career_recommender,,,,,,,,
Female,B.Sc,Computer Science Engineering,"Understand Human Behaviour, Understand Human Body","Active Listening, Critical Thinking, SQL, Leadership, Editing, Creativity Skills, Team work, Excel, Logical Skills, Problem Solving skills, Designing Skills",83,Student (Unemployed),career_recommender,,,,,,,,
Male,Law Hons,constitution,Social Justice,Civil & Criminal Law,73,litigation,career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",83.41,Civil & Structural Engineer,career_recommender,,,,,,,,
Female,B.Sc,Microbiology,"Technology, Understand Human Body","Leadership, Team work, Presentation Skills, Writing, Observation Skills, Designing Skills",83.6,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,"Sales/Marketing, Take risk for Profits, Teaching, Entrepreneurship","ML, SQL, Leadership, Writing, Tableau",60.8,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Sc,Biotechnology,"Research, Trading, Understand Human Behaviour","AI, ML, Python, Critical Thinking, Analytic Thinking, Artistic skills, Work under Pressure, Team work, Logical Skills, Presentation Skills",70,Scientist,career_recommender,,,,,,,,
Male,BE,Business Administration,"Financial Analysis, Research, Sales/Marketing, Trading, Entrepreneurship","Active Listening, Leadership, Market Study, Team work, Mass Communication, Writing, Reading, Sales",68.4,Mechanical Engineer,career_recommender,,,,,,,,
Male,BBA,Commerce,Financial Analysis;News Coverage;Sales/Marketing;Social causes;Construction;Construction Manegement,Finance related skills;People management;Communication skills;Leadership;Sales;Social Media Marketing,67,Business,career_recommender,,,,,,,,
Male,B.Tech,Electronics & Telecom.,Financial Analysis,Programming Language skills;Analytical Skills;C++;Linux;SQL;Java;Cloud Computing,66.5,Software Engineer,career_recommender,,,,,,,,
Male,Diploma,Electrical and Electronics Engineering,Industires,Active Listening,62.985,Supply Chain,career_recommender,,,,,,,,
Male,BE,Electronics and Communication Engineering,Trading;Data analytics;Data scientist;All fields related to Data science.,Active Listening;People management;Leadership;Cloud Computing,59,Associate IT consultant,career_recommender,,,,,,,,
Male,BA,History ,Information Technology;Sports Industry;Salesforce Admin,Hardware skills;Leadership;Designing skills,64,Buliding management system,career_recommender,,,,,,,,
Female,B.Tech,Computer Science Engineering,Web Designing;Data scientist,Active Listening;Programming Language skills;Critical Thinking;Communication skills;Java;Cloud Computing,66.5,Sales force,career_recommender,,,,,,,,
Male,BE,Thermal engineering,Teaching;Technology;Understand human body,Active Listening;Gathering Information;Analytical Skills;Leadership;Machine Learning skills;Interpersonal skills;Medical knowledge,66.88,Deputy warden,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Software developer,"AI, ML, Python, Analytic Thinking, SQL, Programming, C++",66.5,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,Teaching;Design,Gathering Information;Finance related skills;Civil & Criminal Law,66,Teacher,career_recommender,,,,,,,,
Male,B.Tech,Electronics and Communication Engineering,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills,Reading",65.55,Teaching,career_recommender,,,,,,,,
Male,B.Tech,Computer Science Engineering,"Data scientist,Web development,Social causes,All fields related to Data science,Machine Learning",Bootstrap;Node.js;Angular;JIRA;TRELLO;Jquery;Javascript;Ajax;PHP;Codeignitor;Loopback;,72.2,Web Developer,career_recommender,,,,,,,,
Male,Bachelor of Management Studies,Business Administration,"Sales/Marketing, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Logical Skills, Problem Solving skills, Reading, Sales",61.56,Business ConsultantÂ,career_recommender,,,,,,,,
Female,B.Sc,Math,Govt. Job,Teaching experience,60,Teaching experience 5 years,career_recommender,,,,,,,,
Female,B.Sc,Biotechnology,Research;Sales/Marketing;Teaching;Trading;Understand human behaviour,Active Listening;Critical Thinking;Business Knowledge;People management;Communication skills;Leadership;Problem Solving skills;Risk management skills;Writing skills;Hospitality;Client management;Good communication skills,61.75,Asst. Manager,career_recommender,,,,,,,,
Male,Diploma in pharmacyÂ ,Hospitality,HospitalityÂ ,"Accounting Skills, Business Knowledge, Editing, Excel, Designing Skills, Sales",84.55,Medical Practitioner,career_recommender,,,,,,,,
Male,B.Sc,Physics,News Coverage;Social Justice;Content Writing;Govt. Job,Accounting Skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Analytical Skills,67,Sub Editor,career_recommender,,,,,,,,
Male,B.Tech,Biotechnology,"Research,Understand human body,BioTechnology",Polymerase Chain Reaction (PCR);Molecular Biology;Life Sciences;Molecular Biology protein purification;protein chemistry;Protein Assays;Protein Electrophoresis;Protein Chromatography;Western Blotting;Protein Structure Prediction;Protein Kinases; Protein structure ;protein characterization ;protein engineering,70.015,Research Associate,career_recommender,,,,,,,,
Male,B.Sc,Information Technology,Technology,Active Listening;Critical Thinking,70,Se,career_recommender,,,,,,,,
Female,B.Sc,Mathematics,News Coverage,"Communication Skills, Leadership, Problem Solving skills, Subject Knowledge",75.05,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,BiotechNAlogy,"Research,Understand human body,BioTechnology","
Phytochemistry;Metabolomics;Protein Expression;PCR;Molecular Biology;Life Sciences;Polymerase Chain Reaction (PCR);DNA;Biochemistry;Bioinformatics;Cell Culture;Protein Purification;Chemometrics",84.075,Assistant Professor,career_recommender,,,,,,,,
Female,B.Sc,Zoology,Teaching,"Business Knowledge, Communication Skills, Observation Skills",72.2,Student (Unemployed),career_recommender,,,,,,,,
Female,Bachelor of journalism,PR,News Coverage;Content Writing,Artistic/Creative Skills;Mass Communication,64,Sub-editor,career_recommender,,,,,,,,
Male,B.Tech,Information TechNAlogy,All fields related to Data science.,Leadership;R;Python;SQL,54.44,Maths Content Developer,career_recommender,,,,,,,,
Male,B.Sc,Statistics,Software and research,"Python, Critical Thinking, Analytic Thinking, Work under Pressure, Creativity Skills, Team work, Derivatives, Excel, Logical Skills, Interpersonal Skills, Observation Skills",74.86,Student (Unemployed),career_recommender,,,,,,,,
Female,BBA,Human Resource,Financial Analysis;Sales/Marketing;Trading;Understand human behaviour,Active Listening;Finance related skills;People management;Communication skills;Negotiation skills;Interpersonal skills;HR,76.95,HR executive,career_recommender,,,,,,,,
Male,B.Tech,Civil Engineering,Teaching;Technology;Trading;Home interior design;Industires;Design,Active Listening;Hardware skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge,71,Civil engineer,career_recommender,,,,,,,,
Male,B.Sc,Mathematics,"Financial Analysis, Sales/Marketing, Teaching","Team work, Logical Skills, Writing",80.655,Student (Unemployed),career_recommender,,,,,,,,
Male,MBA,Marketing,Financial Analysis;Sales/Marketing;Technology;Understand human behaviour;Understand human body;Supply Chain Analysis;Game industry,Accounting Skills;Artistic/Creative Skills;Business Knowledge;Finance related skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Sales;Client management,69,Mahindra and Mahindra financial services limited,career_recommender,,,,,,,,
Male,B.Tech,Electrical and Electronics Engineering,Software Job,"Python, Java",78.85,R&D Engineer,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Technology,"Excel, Interpersonal Skills, Presentation Skills, Subject Knowledge",65,Mechanical Engineer,career_recommender,,,,,,,,
Female,B.Tech,Computer Science Engineering,Web Designing;Web development;Social media marketing;Information Technology,"Programming Language skills;Communication skills;Leadership;Problem Solving skills;Linux;SQL;Good communication skills;Foreign languages french, Spanish",84.55,Associate Consultant,career_recommender,,,,,,,,
Male,B.Com,Accountancy,Financial Analysis,Accounting Skills,38,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Computer Science and Engineering,Software Job,NO,76,Software Developer,career_recommender,,,,,,,,
Female,B.Tech,Electronics and Communication Engineering,IT,"Python, Editing, Team work, Problem Solving skills, Writing",74.3,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Electronics and Communication Engineering,"Take risk for Profits, Technology","Python, SQL, Work under Pressure",57.57,Student (Unemployed),career_recommender,,,,,,,,
Female,B.Tech,Electronics and communication engineering,Software Job,NO,76,Junior programmer,career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Software Job,Diploma in visual effects,73.15,Vfx artist,career_recommender,,,,,,,,
Female,B.Tech,Civil engineering,Technology,"Civil & Criminal Law, Communication Skills, Sales",74.67,Student (Unemployed),career_recommender,,,,,,,,
Male,B.Tech,Mechanical Engineering,Software Job,NO,73.15,logical trainee associate,career_recommender,,,,,,,,
Male,B.E,Automobile Engineering,Technology,"Python, Java, SQL, Oracle, Programming, Team work, Linux, Problem Solving skills, Subject Knowledge",83.6,PLM CONSULTANTÂ,career_recommender,,,,,,,,
Male,BE,Mechanical Engineering,Govt. Job,Communication skills,71.82,Quality Engineer,career_recommender,,,,,,,,
Male,BE,Mechanical ,Technology,Designing skills,68.4,Design engineer,career_recommender,,,,,,,,
