college_name,state,stream,ug_fee,pg_fee,rating,academic_score,placement_score,source,city,college_type
Aligarh Muslim University,Uttar Pradesh,Engineering,"2,69,445","4,30,970",8.3,8.8,7.2,college_data,,
Mnnit Allahabad,Uttar Pradesh,Engineering,"84,666","1,18,000",8,8.4,8.9,college_data,,
Jaypee Institute Of Information Technology University,Uttar Pradesh,Engineering,"2,36,500","1,20,000",7.8,7.8,7.8,college_data,,
Indian Institute Of Information Technology,Uttar Pradesh,Engineering,"1,04,000","2,80,400",8.3,8.4,9.2,college_data,,
"Dayalbagh Educational Institute Faculty Of Engineering, Agra",Uttar Pradesh,Engineering,"51,300","26,500",8,8.3,8.2,college_data,,
Sharda University,Uttar Pradesh,Engineering,"1,63,770","97,850",7.9,7.7,6.9,college_data,,
Galgotias University,Uttar Pradesh,Engineering,"1,59,000","45,000",7.6,7.9,7.7,college_data,,
"Bennett University, Greater Noida",Uttar Pradesh,Engineering,"3,50,000","60,000",8.6,8.5,8.3,college_data,,
Shiv Nadar University,Uttar Pradesh,Engineering,"2,00,000","1,60,000",9,8.8,8.5,college_data,,
"Integral University, Lucknow",Uttar Pradesh,Engineering,"1,40,000","80,000",7.4,7.6,6.5,college_data,,
J.S. University,Uttar Pradesh,Engineering,"47,500","13,500",8.5,8.5,8.2,college_data,,
"Gla University, Mathura",Uttar Pradesh,Engineering,"1,78,000","75,000",8.2,8.2,8.2,college_data,,
Institute Of Engineering And Technology,Uttar Pradesh,Engineering,"89,775","73,200",7.4,7.6,7,college_data,,
Sanskriti University,Uttar Pradesh,Engineering,"1,15,000","45,000",7,7.2,6.9,college_data,,
"Monad University, Hapur",Uttar Pradesh,Engineering,"1,51,000","35,500",8,7.6,8.2,college_data,,
"Iftm University, Moradabad",Uttar Pradesh,Engineering,"1,07,000","75,000",7.8,7.9,6.8,college_data,,
"Shobhit University, Meerut",Uttar Pradesh,Engineering,"1,11,200","1,22,400",7.8,8.4,7,college_data,,
"Glocal University, Saharanpur",Uttar Pradesh,Engineering,"1,44,000","94,000",7.1,7.5,7.2,college_data,,
"Rama University, Kanpur",Uttar Pradesh,Engineering,"90,000","75,000",6.7,6.6,6.6,college_data,,
Noida Institute Of Engineering And Technology,Uttar Pradesh,Engineering,"6,14,000","2,13,000",7.6,8.1,7.8,college_data,,
"Abes Engineering College, Ghaziabad",Uttar Pradesh,Engineering,"1,43,700","1,30,000",7.9,8.1,7.8,college_data,,
Bundelkhand Institute Of Engineering & Technology,Uttar Pradesh,Engineering,"61,800","59,300",7.1,7.3,6.2,college_data,,
Harcourt Butler Technological University,Uttar Pradesh,Engineering,"1,35,000","83,300",7.3,7.5,7.8,college_data,,
Rajiv Gandhi Institute Of Petroleum Technology,Uttar Pradesh,Engineering,"2,21,100","42,100",8.6,8.7,8.2,college_data,,
Indian Institute Of Technology,Delhi Ncr,Engineering,"2,20,300","1,32,900",8.7,9,9,college_data,,
"Jamia Millia Islamia University-[Jmi], New Delhi",Delhi Ncr,Engineering,"16,150","8,970",8,8.4,7.2,college_data,,
Delhi Technological University,Delhi Ncr,Engineering,"1,90,000","1,66,000",8.2,7.9,8.6,college_data,,
"Amity University, Noida",Delhi Ncr,Engineering,"3,11,000","1,40,000",8.2,8,7.6,college_data,,
Indraprastha Institute Of Information Technology,Delhi Ncr,Engineering,"3,60,000","1,00,000",8.7,8.8,8.6,college_data,,
Guru Gobind Singh Indraprastha University,Delhi Ncr,Engineering,"1,17,200","23,000",7.8,8.1,6.9,college_data,,
Jaypee Institute Of Information Technology University,Delhi Ncr,Engineering,"2,36,500","1,20,000",7.8,7.8,7.8,college_data,,
National Institute Of Food Technology Entrepreneurship And,Delhi Ncr,Engineering,"1,71,550","1,52,950",8.1,8.5,8.5,college_data,,
"School Of Engineering And Technology, Ncu",Delhi Ncr,Engineering,"2,60,000","82,000",9,9,--,college_data,,
"J.C. Bose University Of Science And Technology,",Delhi Ncr,Engineering,"83,625","83,625",7.3,7.7,7.7,college_data,,
Indira Gandhi Delhi Technical University For Women,Delhi Ncr,Engineering,"88,000","33,000",7.6,7.7,8.3,college_data,,
Manav Rachna International Institute Of Research And,Delhi Ncr,Engineering,"1,81,500","1,16,000",7.2,7.1,6.5,college_data,,
Sharda University,Delhi Ncr,Engineering,"1,63,770","97,850",7.9,7.7,6.9,college_data,,
Galgotias University,Delhi Ncr,Engineering,"1,59,000","45,000",7.6,7.9,7.7,college_data,,
Netaji Subhas University Of Technology,Delhi Ncr,Engineering,"1,90,000","1,20,000",7.8,7.9,8.9,college_data,,
Shiv Nadar University,Delhi Ncr,Engineering,"2,00,000","1,60,000",9,8.8,8.5,college_data,,
National Institute Of Technology,Delhi Ncr,Engineering,"96,866","1,98,500",6.8,7.3,7.6,college_data,,
"Gurugram University, Gurgaon",Delhi Ncr,Engineering,"40,000",--,8.2,8.6,8,college_data,,
Chhotu Ram Rural Institute Of Technology,Delhi Ncr,Engineering,"33,450","33,450",8.4,8.7,8.1,college_data,,
Sunrise University,Delhi Ncr,Engineering,"72,200","32,200",8.1,8.1,7.9,college_data,,
"Monad University, Hapur",Delhi Ncr,Engineering,"1,51,000","35,500",8,7.6,8.2,college_data,,
"Amity University, Gurgaon",Delhi Ncr,Engineering,"2,30,000","1,56,000",7.7,7.8,7.1,college_data,,
"Shobhit University, Meerut",Delhi Ncr,Engineering,"1,11,200","1,22,400",7.8,8.4,7,college_data,,
Indraprastha Institute Of Technology And Management,Delhi Ncr,Engineering,"1,25,000",--,8.3,8.3,8.7,college_data,,
Maharaja Agrasen Institute Of Technology,Delhi Ncr,Engineering,"1,43,200",--,7.5,7.8,7.5,college_data,,
Maharaja Surajmal Institute Of Technology,Delhi Ncr,Engineering,"1,35,300",--,7.3,7.9,7.7,college_data,,
Noida Institute Of Engineering And Technology,Delhi Ncr,Engineering,"6,14,000","2,13,000",7.6,8.1,7.8,college_data,,
K L University,Andhra Pradesh,Engineering,"2,50,000","1,45,000",8.3,8.5,8.3,college_data,,
"Andhra University, College Of Engineering",Andhra Pradesh,Engineering,"10,000","1,09,000",7.7,8.2,7.2,college_data,,
"Sri Venkateswara University College Of Engineering, Tirupati",Andhra Pradesh,Engineering,"16,395","31,647",7.8,7.6,6.9,college_data,,
"VignanâS Foundation For Science, Technology, And Research,",Andhra Pradesh,Engineering,"2,50,000","1,10,000",8.2,8.2,7.7,college_data,,
"Jntuk University College Of Engineering, Kakinada, East",Andhra Pradesh,Engineering,"10,000","30,000",7.7,8,7,college_data,,
Sree Vidyanikethan Engineering College,Andhra Pradesh,Engineering,"2,80,000","76,850",8.5,8.4,8.4,college_data,,
G. Pulla Reddy Engineering College,Andhra Pradesh,Engineering,"80,000","80,000",8.3,8.5,8.2,college_data,,
Sri Venkateswara College Of Engineering And Technology,Andhra Pradesh,Engineering,"89,350","75,000",7.9,8.3,7.3,college_data,,
Velagapudi Ramakrishna Siddhartha Engineering College,Andhra Pradesh,Engineering,"71,050","70,000",8.2,8.6,8.2,college_data,,
Shri Vishnu Engineering College For Women,Andhra Pradesh,Engineering,"95,000","55,000",8.8,8.7,8.8,college_data,,
"Jntua College Of Engineering, Ananthapur",Andhra Pradesh,Engineering,"25,000","38,750",7,7.1,6.3,college_data,,
Sagi Ramakrishnam Raju Engineering College,Andhra Pradesh,Engineering,"30,000","57,000",8.2,8.5,8.2,college_data,,
Gayatri Vidya Parishad College Of Engineering,Andhra Pradesh,Engineering,"2,76,000","1,00,000",7.7,8.3,8.1,college_data,,
Jawaharlal Nehru Technological University,Andhra Pradesh,Engineering,"1,00,000",--,7.4,7.7,7.1,college_data,,
Indian Institute Of Technology,Andhra Pradesh,Engineering,"16,950","78,218",8.6,9,8.2,college_data,,
Prasad V. Potluri Siddhartha Institute Of Technology,Andhra Pradesh,Engineering,"2,80,000","1,40,000",7.9,8.1,7.9,college_data,,
Centurion University Of Technology And Management,Andhra Pradesh,Engineering,"1,25,000","60,000",7.8,8,7.4,college_data,,
Aditya Engineering College,Andhra Pradesh,Engineering,"72,000","29,500",7.8,7.9,7.4,college_data,,
Bapatla Engineering College,Andhra Pradesh,Engineering,"75,000","90,000",7.5,7.8,6.5,college_data,,
Gudlavalleru Engineering College,Andhra Pradesh,Engineering,"81,600","74,850",8.2,8.5,7.5,college_data,,
Sri Venkateswara College Of Engineering,Andhra Pradesh,Engineering,"80,000","75,000",8.3,8.3,7.8,college_data,,
Sri Vasavi Engineering College,Andhra Pradesh,Engineering,"1,89,000","60,850",7.9,8.1,7.6,college_data,,
Indian Institute Of Information Technology Sri City,Andhra Pradesh,Engineering,"1,03,000","2,71,000",7,7.9,7.3,college_data,,
National Institute Of Technology,Andhra Pradesh,Engineering,"1,87,500","1,00,000",7.2,7.9,6.9,college_data,,
"Rajiv Gandhi University Of Knowledge Technologies -[Rgukt],",Andhra Pradesh,Engineering,"39,000","96,000",8.2,8.4,7.7,college_data,,
Raghu Engineering College,Andhra Pradesh,Engineering,"85,000","57,000",8.1,8.3,8.5,college_data,,
Indian Institute Of Information Technology Design And,Andhra Pradesh,Engineering,"1,44,600","67,500",7.4,7.9,7.2,college_data,,
Rajeev Gandhi Memorial College Of Engineering And,Andhra Pradesh,Engineering,"69,100","62,800",7.4,7.8,6.2,college_data,,
Vit University,Andhra Pradesh,Engineering,"1,98,000","1,93,000",8.2,8.3,8.4,college_data,,
National Institute Of Technology,Karnataka,Engineering,"1,52,730","1,00,355",8.4,8.7,8.9,college_data,,
Manipal Institute Of Technology,Karnataka,Engineering,"3,35,000","2,10,000",8.7,8.5,8.1,college_data,,
R V College Of Engineering,Karnataka,Engineering,"3,50,000","37,700",8.5,8.7,9,college_data,,
Ramaiah Institute Of Technology,Karnataka,Engineering,"86,226","96,570",8.4,8.5,8.3,college_data,,
International Institute Of Information Technology,Karnataka,Engineering,"1,64,000","3,24,000",8.7,9.2,8.9,college_data,,
Bms College Of Engineering,Karnataka,Engineering,"2,29,110","26,800",8.2,8.4,8.3,college_data,,
Siddaganga Institute Of Technology,Karnataka,Engineering,"79,475","92,975",7.8,8.1,8,college_data,,
New Horizon College Of Engineering,Karnataka,Engineering,"2,50,000","75,000",8,8,7.8,college_data,,
"Faculty Of Engineering And Technology, Jain University",Karnataka,Engineering,"1,97,500","85,000",8.1,8,7.7,college_data,,
Sri Jayachamarajendra College Of Engineering,Karnataka,Engineering,"4,75,000","1,40,000",8.3,8.4,8.7,college_data,,
Dayananda Sagar College Of Engineering,Karnataka,Engineering,"96,106","2,92,720",8,8,7.7,college_data,,
Nmam Institute Of Technology,Karnataka,Engineering,"1,63,000","83,220",7.9,8,7.5,college_data,,
Nitte Meenakshi Institute Of Technology,Karnataka,Engineering,"58,806","65,390",7.8,8.1,7.6,college_data,,
Pes University,Karnataka,Engineering,"3,40,000","2,00,000",8,8.5,8.1,college_data,,
Bms Institute Of Technology And Management,Karnataka,Engineering,"3,50,000",--,7.9,8.2,7.9,college_data,,
"Kle Technological University, Hubli",Karnataka,Engineering,"15,000","40,000",8.4,8.5,8.4,college_data,,
Dr. Ambedkar Institute Of Technology,Karnataka,Engineering,"30,200","37,500",7.2,7.7,6.7,college_data,,
Pes College Of Engineering,Karnataka,Engineering,"76,800","74,450",7.7,7.9,7.3,college_data,,
Cmr Institute Of Technology,Karnataka,Engineering,"2,50,000","1,40,000",7.9,8.2,7.7,college_data,,
The National Institute Of Engineering,Karnataka,Engineering,"44,090","55,590",8.1,8.5,8.4,college_data,,
"Alliance College Of Engineering And Design, Bangalore",Karnataka,Engineering,"2,25,000","1,50,000",7.2,7.3,6.5,college_data,,
Basaveshwar Engineering College,Karnataka,Engineering,"65,340","60,000",7.7,8.1,6.6,college_data,,
"Christ University, Bangalore",Karnataka,Engineering,"1,70,000","35,000",8.3,8.5,8.1,college_data,,
Manipal Academy Of Higher Education,Karnataka,Engineering,"3,35,000","2,10,000",8.4,8.5,7.8,college_data,,
Indian Institute Of Science,Karnataka,Engineering,"29,200","35,200",9,9.6,8.4,college_data,,
"Reva University, Bangalore",Karnataka,Engineering,"2,25,000","5,00,000",8.4,8.3,7.8,college_data,,
"Alliance University, Bangalore",Karnataka,Engineering,"6,25,000","1,50,000",8,8.2,7.6,college_data,,
"Presidency University, Bangalore",Karnataka,Engineering,"2,10,000","90,000",8.3,8.2,8.2,college_data,,
Indian Institute Of Technology,Telangana,Engineering,"2,22,995","5,00,895",8.5,8.7,8.3,college_data,,
National Institute Of Technology,Telangana,Engineering,"1,30,000","75,000",8.4,8.6,8.6,college_data,,
International Institute Of Information Technology,Telangana,Engineering,"3,00,000","1,50,000",8.3,9,9.2,college_data,,
Jawaharlal Nehru Technological University,Telangana,Engineering,"12,500","18,000",8,8.3,7.6,college_data,,
"University College Of Engineering, Osmania University",Telangana,Engineering,"27,770","39,770",8.6,9,8.4,college_data,,
Chaitanya Bharathi Institute Of Technology,Telangana,Engineering,"1,34,000","1,51,600",8.2,8.5,8.6,college_data,,
Vallurupalli Nageswara Rao Vignana Jyothi Institute Of,Telangana,Engineering,"1,31,000","1,41,700",8.4,8.4,8.4,college_data,,
"Cvr College Of Engineering, Ibrahimpatnam, Rangareddi",Telangana,Engineering,"1,21,650","72,500",8.3,8.6,8.6,college_data,,
Institute Of Aeronautical Engineering,Telangana,Engineering,"90,000","70,000",8.3,8.4,8,college_data,,
Bv Raju Institute Of Technology,Telangana,Engineering,"1,20,000","70,000",8.5,8.6,8.4,college_data,,
Vardhaman College Of Engineering,Telangana,Engineering,"1,25,000","57,000",8.1,8.2,8.1,college_data,,
"Anurag University, Hyderabad",Telangana,Engineering,"1,35,500","66,500",8.3,8.5,8,college_data,,
Vasavi College Of Engineering,Telangana,Engineering,"1,30,000","1,00,000",8,8.6,8.8,college_data,,
Gokaraju Rangaraju Institute Of Engineering And Technology,Telangana,Engineering,"1,22,000","75,000",8,8.3,8.1,college_data,,
Kakatiya Institute Of Technology & Science,Telangana,Engineering,"1,25,960","74,550",8.2,8.3,7.9,college_data,,
K L University,Telangana,Engineering,"2,65,000","1,20,000",7.9,7.9,7.6,college_data,,
Birla Institute Of Technology And Science,Telangana,Engineering,"4,23,475","4,69,475",9,9,9.1,college_data,,
Mahatma Gandhi Institute Of Technology,Telangana,Engineering,"1,08,000",--,7.8,8.1,7.3,college_data,,
Malla Reddy Engineering College,Telangana,Engineering,"1,03,000","57,000",7.4,7.7,7.1,college_data,,
Malla Reddy College Of Engineering,Telangana,Engineering,"72,000",--,7,7.5,6.5,college_data,,
Indian Institute Of Chemical Technology,Telangana,Engineering,--,--,7.7,7,7.7,college_data,,
Sreenidhi Institute Of Science And Technology,Telangana,Engineering,"5,20,000","2,10,000",7.6,7.8,7.7,college_data,,
"Mahindra University, Hyderabad",Telangana,Engineering,"4,70,000","70,000",8.8,9.1,7.8,college_data,,
"St Martin'S Engineering College, Secunderabad",Telangana,Engineering,"80,000",--,7.7,7.9,7.7,college_data,,
Mlr Institute Of Technology,Telangana,Engineering,"96,000","57,000",8.3,8.3,8,college_data,,
Keshav Memorial Institute Of Technology,Telangana,Engineering,"1,11,500",--,8.2,8.7,9,college_data,,
Vaagdevi College Of Engineering,Telangana,Engineering,"86,000",--,7.8,8,7.5,college_data,,
Cmr Engineering College,Telangana,Engineering,"75,000","57,000",8.8,8.9,9,college_data,,
"Matrusri Engineering College, Hyderabad",Telangana,Engineering,"90,000",--,7,7.6,7,college_data,,
Indian Institute Of Technology,Madhya Pradesh,Engineering,"2,28,700","50,800",8,8.4,7.8,college_data,,
Maulana Azad National Institute Of Technology,Madhya Pradesh,Engineering,"64,939","1,04,275",7.8,7.8,8.1,college_data,,
Indian Institute Of Information Technology Design And,Madhya Pradesh,Engineering,"1,37,580","71,000",7.9,8.2,7.5,college_data,,
Atal Bihari Vajpayee Indian Institute Of Information,Madhya Pradesh,Engineering,"75,070","1,42,250",7.6,7.5,7.7,college_data,,
"Vit Bhopal University, Bhopal",Madhya Pradesh,Engineering,"1,98,000","1,93,000",7.9,8.6,8.1,college_data,,
"Rkdf University, Bhopal",Madhya Pradesh,Engineering,"55,000","35,000",7.6,8,6.5,college_data,,
Awadhesh Pratap Singh University,Madhya Pradesh,Engineering,"40,000",--,7.1,7.9,5.3,college_data,,
"University Institute Of Technology, Rajiv Gandhi Proudyogiki",Madhya Pradesh,Engineering,"23,920","62,735",6.9,7.2,6.3,college_data,,
Institute Of Information Technology & Management,Madhya Pradesh,Engineering,"77,000","60,000",8.5,8.7,8.5,college_data,,
"Institute Of Engineering And Technology, Devi Ahilya",Madhya Pradesh,Engineering,"82,961","71,100",7.7,7.9,8.4,college_data,,
Acropolis Institute Of Technology & Research,Madhya Pradesh,Engineering,"75,100","25,500",7.8,7.9,8,college_data,,
"Indian Institute Of Information Technology -[Iiit], Bhopal",Madhya Pradesh,Engineering,"1,79,500",--,6,6.4,5,college_data,,
Jaypee University Of Engineering And Technology,Madhya Pradesh,Engineering,"1,89,500","96,500",7.9,7.8,7.4,college_data,,
Oriental University,Madhya Pradesh,Engineering,"65,000","30,000",7.2,7.5,7.1,college_data,,
"Amity University, Gwalior",Madhya Pradesh,Engineering,"1,64,000","64,000",8.6,8.8,8,college_data,,
Aks University,Madhya Pradesh,Engineering,"60,000","46,000",7.3,7.8,6.9,college_data,,
Jagran Lakecity University,Madhya Pradesh,Engineering,"1,15,000","75,000",8,8,7.4,college_data,,
Jabalpur Engineering College,Madhya Pradesh,Engineering,"22,300","10,000",7.2,7.5,7.4,college_data,,
"Swami Vivekanand University, Sagar",Madhya Pradesh,Engineering,"44,000","32,000",6.3,6.9,5.6,college_data,,
"Acropolis Group Of Institutions, Indore",Madhya Pradesh,Engineering,"73,600","60,000",8.7,8.5,8.6,college_data,,
Lnct University,Madhya Pradesh,Engineering,"80,000","65,000",9,9,8.9,college_data,,
"Avantika University, Ujjain",Madhya Pradesh,Engineering,"2,22,500",--,9.1,9.3,9.5,college_data,,
Ujjain Engineering College,Madhya Pradesh,Engineering,"22,751","25,151",6.7,7.4,6.4,college_data,,
Shri Govindram Seksaria Institute Of Technology And,Madhya Pradesh,Engineering,"75,550","1,18,425",7.4,8,7.5,college_data,,
Lakshmi Narain College Of Technology,Madhya Pradesh,Engineering,"48,600","60,000",5.7,5.6,5.4,college_data,,
National Institute Of Technology,Kerala,Engineering,"53,797","27,405",8.1,8.4,8.1,college_data,,
Indian Institute Of Space Science And Technology,Kerala,Engineering,"1,42,400","87,400",8.1,8.9,7.7,college_data,,
"College Of Engineering, Trivandrum",Kerala,Engineering,"2,00,000","15,725",8.4,8.6,8.4,college_data,,
"Cochin University Of Science And Technology, School",Kerala,Engineering,"86,040","52,730",8.3,8.5,8.2,college_data,,
Baselios Thomas I Catholicose College Of Engineering,Kerala,Engineering,"85,000",--,7.4,7.5,6.5,college_data,,
Cochin University Of Science And Technology,Kerala,Engineering,"46,600","19,290",7.9,8.4,7.7,college_data,,
Indian Institute Of Technology,Kerala,Engineering,"35,850","2,22,350",8.6,9.2,8.7,college_data,,
Apj Abdul Kalam Technological University,Kerala,Engineering,"29,000",--,7.8,8.1,7.5,college_data,,
Federal Institute Of Science And Technology,Kerala,Engineering,"75,100","87,050",8.1,8.3,8,college_data,,
"Indian Institute Of Information Technology [Iiit], Kottayam",Kerala,Engineering,"1,98,950",--,8.3,8.5,8.6,college_data,,
Government Engineering College,Kerala,Engineering,"22,150","10,970",8.5,8.5,8.3,college_data,,
National Institute Of Electronics & Information Technology,Kerala,Engineering,"60,000","1,38,500",8.4,8.7,8.8,college_data,,
Tkm College Of Engineering,Kerala,Engineering,"8,410","16,290",8.4,8.8,7.8,college_data,,
Amal Jyothi College Of Engineering,Kerala,Engineering,"1,00,000","96,000",7.6,7.9,6.9,college_data,,
Hindustan College Of Engineering,Kerala,Engineering,"50,000",--,8,8.3,8,college_data,,
Marian Engineering College,Kerala,Engineering,"96,050","61,300",7.8,8.3,7.9,college_data,,
"Saintgits College Of Engineering, Kottayam",Kerala,Engineering,"75,000","1,71,900",8.3,8.4,7.8,college_data,,
Rajiv Gandhi Institute Of Technology,Kerala,Engineering,"22,000","22,000",7.9,8.3,7.4,college_data,,
Mangalam College Of Engineering Ettumanoor,Kerala,Engineering,"75,000","3,00,000",6.9,7,6.4,college_data,,
Nss College Of Engineering,Kerala,Engineering,"8,739","11,065",8.3,8.4,8.2,college_data,,
Sree Chitra Thirunal College Of Engineering,Kerala,Engineering,"62,668","75,041",8,8.6,8.3,college_data,,
"Thejus Engineering College, Thrissur",Kerala,Engineering,"88,400","1,60,000",8,8.3,7.1,college_data,,
Mar Athanasius College Of Engineering,Kerala,Engineering,"8,225","21,950",8.4,8.5,8.1,college_data,,
St. Thomas College Of Engineering And Technology-,Kerala,Engineering,"58,150",--,8.3,8.4,7.8,college_data,,
"College Of Engineering Thalassery, Kannur",Kerala,Engineering,"38,250",--,7.2,7.8,6.6,college_data,,
