job_title,education_level,years_experience,salary,country,company,location,job_roles
Customer Service Representative,1.0,5.0,45000.0,Canada,,,
Business Development Manager,2.0,8.0,90000.0,Canada,,,
Financial Analyst,2.0,18.0,150000.0,Canada,,,
Web Developer,1.0,6.0,65000.0,USA,,,
Recruiter,1.0,11.0,70000.0,USA,,,
Research Director,3.0,16.0,190000.0,UK,,,
Technical Support Specialist,1.0,2.0,40000.0,China,,,
Creative Director,2.0,14.0,120000.0,Canada,,,
Project Manager,1.0,10.0,95000.0,USA,,,
Operations Manager,1.0,22.0,160000.0,USA,,,
Software Engineer,2.0,6.0,100000.0,USA,,,
Human Resources Director,2.0,20.0,180000.0,Canada,,,
Content Marketing Manager,1.0,3.0,55000.0,Australia,,,
Technical Recruiter,1.0,8.0,70000.0,UK,,,
Data Analyst,2.0,13.0,80000.0,USA,,,
Sales Representative,1.0,0.0,30000.0,Australia,,,
Chief Technology Officer,3.0,24.0,250000.0,Canada,,,
Designer,1.0,2.0,40000.0,Australia,,,
Financial Advisor,2.0,10.0,95000.0,UK,,,
Account Manager,1.0,2.0,45000.0,Canada,,,
Hr Generalist,1.0,15.0,80000.0,USA,,,
Project Manager,2.0,21.0,135000.0,Canada,,,
Marketing Coordinator,1.0,6.0,55000.0,Australia,,,
Principal Scientist,3.0,11.0,120000.0,UK,,,
Sales Associate,1.0,3.0,40000.0,China,,,
Supply Chain Manager,1.0,18.0,105000.0,UK,,,
Marketing Manager,2.0,25.0,170000.0,China,,,
Business Analyst,1.0,7.0,75000.0,Australia,,,
Training Specialist,1.0,12.0,65000.0,USA,,,
Research Scientist,3.0,22.0,160000.0,Australia,,,
Software Developer,1.0,1.0,35000.0,China,,,
Public Relations Manager,2.0,10.0,90000.0,UK,,,
Operations Analyst,1.0,20.0,110000.0,China,,,
Event Coordinator,1.0,5.0,45000.0,Australia,,,
Product Marketing Manager,2.0,8.0,95000.0,China,,,
Hr Manager,2.0,19.0,150000.0,Australia,,,
Web Developer,1.0,5.0,50000.0,Canada,,,
Project Coordinator,2.0,13.0,80000.0,UK,,,
Chief Data Officer,3.0,16.0,220000.0,USA,,,
Digital Content Producer,1.0,3.0,50000.0,UK,,,
It Support Specialist,1.0,7.0,60000.0,USA,,,
Marketing Analyst,2.0,14.0,100000.0,USA,,,
Customer Success Manager,1.0,2.0,40000.0,USA,,,
Graphic Designer,2.0,15.0,110000.0,USA,,,
Software Project Manager,1.0,9.0,95000.0,UK,,,
Supply Chain Analyst,1.0,22.0,130000.0,UK,,,
Business Analyst,2.0,6.0,90000.0,USA,,,
Marketing Analyst,1.0,0.5,35000.0,USA,,,
Financial Analyst,2.0,6.0,95000.0,Australia,,,
Office Manager,1.0,15.0,65000.0,USA,,,
Principal Engineer,3.0,20.0,170000.0,USA,,,
Hr Generalist,1.0,3.0,45000.0,Australia,,,
Product Manager,2.0,10.0,120000.0,Canada,,,
Sales Manager,1.0,17.0,100000.0,China,,,
Director Of Marketing,2.0,25.0,180000.0,UK,,,
Operations Analyst,1.0,5.0,50000.0,Australia,,,
Customer Service Manager,1.0,11.0,80000.0,China,,,
Scientist,3.0,16.0,140000.0,UK,,,
Accountant,1.0,2.0,40000.0,UK,,,
Hr Generalist,2.0,9.0,95000.0,USA,,,
Sales Operations Manager,1.0,18.0,110000.0,UK,,,
Marketing Coordinator,1.0,4.0,50000.0,USA,,,
Software Developer,2.0,8.0,105000.0,Canada,,,
Director Of Operations,2.0,21.0,160000.0,UK,,,
Web Designer,1.0,3.0,45000.0,China,,,
Training Specialist,2.0,12.0,100000.0,Canada,,,
Research Scientist,3.0,22.0,160000.0,USA,,,
Sales Representative,1.0,1.0,35000.0,UK,,,
Administrative Assistant,1.0,10.0,55000.0,Canada,,,
Project Manager,2.0,19.0,140000.0,Canada,,,
Marketing Manager,1.0,4.0,50000.0,Canada,,,
Data Analyst,1.0,7.0,60000.0,Australia,,,
Product Marketing Manager,2.0,14.0,120000.0,Australia,,,
Business Analyst,1.0,2.0,40000.0,USA,,,
Marketing Manager,2.0,13.0,110000.0,Australia,,,
Software Developer,1.0,5.0,50000.0,USA,,,
Sales Manager,1.0,20.0,135000.0,China,,,
Marketing Specialist,2.0,1.5,40000.0,Australia,,,
Business Analyst,1.0,8.0,90000.0,Australia,,,
Data Scientist,3.0,16.0,150000.0,China,,,
Project Manager,1.0,4.0,60000.0,UK,,,
Accountant,1.0,10.0,80000.0,USA,,,
Director Of Sales,2.0,19.0,175000.0,Canada,,,
Recruiter,1.0,3.0,45000.0,Australia,,,
Business Development Manager,2.0,11.0,120000.0,Canada,,,
Product Designer,3.0,18.0,140000.0,Australia,,,
Customer Support Specialist,1.0,2.0,35000.0,USA,,,
Marketing Analyst,2.0,9.0,95000.0,Canada,,,
It Support Specialist,1.0,14.0,110000.0,USA,,,
Financial Analyst,1.0,5.0,50000.0,USA,,,
Operations Manager,2.0,7.0,115000.0,China,,,
Director Of Human Resources,3.0,23.0,185000.0,China,,,
Software Engineer,1.0,2.0,40000.0,Australia,,,
Sales Representative,1.0,12.0,90000.0,USA,,,
Director Of Product Management,2.0,21.0,175000.0,USA,,,
Copywriter,1.0,3.0,45000.0,UK,,,
Marketing Coordinator,1.0,7.0,80000.0,China,,,
Human Resources Manager,2.0,13.0,120000.0,China,,,
Business Development Associate,1.0,1.5,35000.0,China,,,
Account Manager,1.0,14.0,110000.0,Australia,,,
Researcher,3.0,18.0,150000.0,Canada,,,
Hr Coordinator,1.0,4.0,50000.0,China,,,
Software Engineer,2.0,9.0,105000.0,China,,,
Director Of Finance,2.0,20.0,180000.0,Australia,,,
Marketing Coordinator,1.0,2.0,40000.0,Canada,,,
Project Manager,1.0,16.0,140000.0,UK,,,
Data Scientist,2.0,1.5,45000.0,Canada,,,
Operations Analyst,1.0,7.0,85000.0,China,,,
Marketing Manager,3.0,18.0,140000.0,UK,,,
Accountant,1.0,4.0,50000.0,UK,,,
Human Resources Coordinator,1.0,10.0,80000.0,UK,,,
Director Of Operations,2.0,20.0,170000.0,USA,,,
Sales Representative,1.0,2.0,40000.0,UK,,,
Business Analyst,2.0,9.0,105000.0,China,,,
Ux Designer,3.0,15.0,145000.0,USA,,,
Product Manager,1.0,2.0,40000.0,USA,,,
Marketing Specialist,1.0,8.0,85000.0,USA,,,
It Project Manager,1.0,14.0,130000.0,China,,,
Financial Analyst,2.0,6.0,95000.0,Canada,,,
Quality Assurance Analyst,1.0,9.0,100000.0,UK,,,
Director Of Sales And Marketing,3.0,22.0,180000.0,China,,,
Operations Analyst,1.0,1.5,35000.0,UK,,,
Account Executive,1.0,12.0,95000.0,USA,,,
Director Of Business Development,2.0,19.0,170000.0,Australia,,,
Social Media Manager,1.0,3.0,45000.0,Australia,,,
Product Manager,1.0,7.0,95000.0,China,,,
Human Resources Specialist,2.0,13.0,120000.0,UK,,,
Business Analyst,1.0,2.0,40000.0,USA,,,
Marketing Coordinator,1.0,11.0,90000.0,Canada,,,
Data Analyst,3.0,17.0,155000.0,UK,,,
Account Manager,1.0,5.0,55000.0,Australia,,,
Software Developer,2.0,9.0,110000.0,Canada,,,
Director Of Human Capital,2.0,21.0,180000.0,UK,,,
Advertising Coordinator,1.0,3.0,45000.0,UK,,,
Sales Manager,1.0,16.0,130000.0,USA,,,
Ux Designer,2.0,1.5,45000.0,USA,,,
Accountant,1.0,7.0,90000.0,Canada,,,
Marketing Director,3.0,17.0,160000.0,UK,,,
Hr Generalist,1.0,4.0,50000.0,China,,,
Operations Manager,1.0,10.0,120000.0,Australia,,,
Director Of Finance,2.0,20.0,170000.0,Australia,,,
Marketing Coordinator,1.0,2.0,40000.0,China,,,
It Consultant,2.0,9.0,110000.0,China,,,
Product Designer,3.0,15.0,150000.0,China,,,
Business Development Associate,1.0,2.0,40000.0,USA,,,
Marketing Analyst,1.0,8.0,85000.0,USA,,,
Software Engineer,1.0,14.0,130000.0,China,,,
Financial Advisor,2.0,6.0,100000.0,UK,,,
Project Coordinator,1.0,9.0,95000.0,Canada,,,
Director Of Operations,3.0,22.0,180000.0,Australia,,,
Business Operations Analyst,1.0,1.5,35000.0,UK,,,
Sales Representative,1.0,12.0,100000.0,China,,,
Director Of Marketing,2.0,19.0,170000.0,USA,,,
Social Media Specialist,1.0,3.0,45000.0,UK,,,
Product Development Manager,1.0,7.0,100000.0,USA,,,
Human Resources Manager,2.0,13.0,140000.0,China,,,
Financial Analyst,1.0,2.0,40000.0,Australia,,,
Marketing Manager,1.0,11.0,105000.0,UK,,,
Data Scientist,3.0,18.0,160000.0,Canada,,,
Operations Manager,1.0,5.0,70000.0,Australia,,,
Software Architect,2.0,9.0,120000.0,Australia,,,
Director Of Human Resources,2.0,21.0,190000.0,USA,,,
Marketing Specialist,1.0,3.0,45000.0,Canada,,,
Project Manager,1.0,15.0,120000.0,Canada,,,
Research Scientist,2.0,1.5,50000.0,China,,,
Operations Analyst,1.0,8.0,85000.0,Canada,,,
Marketing Manager,3.0,13.0,140000.0,Canada,,,
Sales Representative,1.0,3.0,45000.0,Australia,,,
Financial Analyst,1.0,9.0,100000.0,UK,,,
Software Developer,2.0,16.0,140000.0,Australia,,,
Operations Analyst,1.0,5.0,70000.0,Canada,,,
Marketing Specialist,1.0,10.0,120000.0,Canada,,,
Hr Manager,3.0,18.0,160000.0,Canada,,,
Business Analyst,1.0,1.5,40000.0,Australia,,,
Product Manager,1.0,10.0,120000.0,China,,,
Data Analyst,3.0,19.0,150000.0,UK,,,
Marketing Analyst,1.0,6.0,70000.0,USA,,,
Operations Manager,1.0,8.0,95000.0,USA,,,
Director Of Marketing,2.0,21.0,180000.0,Canada,,,
Financial Analyst,1.0,3.0,50000.0,Canada,,,
Project Coordinator,1.0,11.0,95000.0,USA,,,
Director Of Operations,2.0,20.0,170000.0,Canada,,,
Marketing Coordinator,1.0,2.0,40000.0,USA,,,
It Consultant,2.0,9.0,110000.0,Australia,,,
Product Designer,3.0,15.0,150000.0,China,,,
Business Development Associate,1.0,2.0,40000.0,USA,,,
Marketing Analyst,1.0,8.0,85000.0,Canada,,,
Software Engineer,1.0,14.0,130000.0,Australia,,,
Financial Advisor,2.0,6.0,100000.0,Australia,,,
Project Coordinator,1.0,9.0,95000.0,UK,,,
Director Of Operations,3.0,22.0,180000.0,Australia,,,
Business Operations Analyst,1.0,1.5,350.0,USA,,,
Financial Manager,1.0,10.0,120000.0,USA,,,
Data Scientist,3.0,18.0,160000.0,China,,,
Marketing Coordinator,1.0,3.0,50000.0,Australia,,,
Operations Manager,1.0,12.0,110000.0,Canada,,,
Sales Representative,1.0,1.5,40000.0,USA,,,
Marketing Specialist,1.0,8.0,95000.0,UK,,,
Hr Specialist,2.0,15.0,140000.0,China,,,
Operations Manager,1.0,4.0,60000.0,China,,,
Marketing Coordinator,1.0,9.0,110000.0,China,,,
Data Engineer,3.0,16.0,150000.0,Australia,,,
Marketing Manager,1.0,4.0,60000.0,UK,,,
Financial Analyst,1.0,8.0,90000.0,Australia,,,
Director Of Marketing,2.0,20.0,180000.0,UK,,,
Business Analyst,1.0,2.0,40000.0,Australia,,,
Project Manager,1.0,9.0,120000.0,UK,,,
Data Analyst,3.0,17.0,160000.0,UK,,,
Financial Analyst,1.0,5.0,70000.0,UK,,,
Product Manager,1.0,8.0,95000.0,Australia,,,
Director Of Operations,2.0,21.0,180000.0,UK,,,
Operations Analyst,1.0,3.0,50000.0,USA,,,
Project Coordinator,1.0,11.0,95000.0,Canada,,,
Director Of Marketing,2.0,19.0,170000.0,Canada,,,
Business Development Associate,1.0,1.5,35000.0,Australia,,,
Financial Manager,1.0,9.0,100000.0,Canada,,,
Product Designer,3.0,15.0,150000.0,China,,,
Business Analyst,1.0,4.0,60000.0,Canada,,,
Marketing Analyst,1.0,8.0,85000.0,China,,,
Software Engineer,1.0,13.0,130000.0,Canada,,,
Product Manager,1.0,4.0,65000.0,China,,,
Business Analyst,1.0,10.0,110000.0,Australia,,,
Director Of Operations,3.0,21.0,180000.0,USA,,,
Marketing Specialist,1.0,2.0,40000.0,Australia,,,
Business Development Manager,1.0,7.0,90000.0,USA,,,
Hr Manager,2.0,14.0,140000.0,UK,,,
Financial Analyst,1.0,4.0,60000.0,China,,,
Marketing Manager,1.0,12.0,130000.0,Australia,,,
Data Scientist,3.0,16.0,160000.0,Australia,,,
Operations Coordinator,1.0,2.0,40000.0,Australia,,,
Marketing Analyst,1.0,9.0,100000.0,UK,,,
Director Of Hr,2.0,20.0,180000.0,USA,,,
Project Manager,1.0,3.0,55000.0,Canada,,,
Operations Coordinator,1.0,9.0,120000.0,Canada,,,
Data Engineer,3.0,16.0,150000.0,Canada,,,
Marketing Manager,1.0,5.0,70000.0,UK,,,
Business Analyst,1.0,8.0,95000.0,China,,,
Director Of Marketing,2.0,21.0,180000.0,China,,,
Operations Analyst,1.0,3.0,50000.0,Canada,,,
Project Manager,1.0,12.0,120000.0,Australia,,,
Director Of Marketing,2.0,19.0,170000.0,UK,,,
Business Development Associate,1.0,1.5,35000.0,Australia,,,
Financial Manager,1.0,9.0,100000.0,Australia,,,
Product Designer,3.0,15.0,150000.0,Australia,,,
Business Analyst,1.0,4.0,60000.0,UK,,,
Marketing Analyst,1.0,8.0,85000.0,Canada,,,
Software Engineer,1.0,13.0,130000.0,Australia,,,
Financial Advisor,2.0,6.0,80000.0,Canada,,,
Marketing Specialist,1.0,8.0,95000.0,Canada,,,
Hr Coordinator,1.0,2.0,40000.0,UK,,,
Business Development Manager,1.0,10.0,120000.0,China,,,
Marketing Manager,2.0,16.0,160000.0,Canada,,,
Financial Advisor,1.0,4.0,65000.0,USA,,,
Project Manager,1.0,12.0,130000.0,Canada,,,
Director Of Engineering,3.0,20.0,180000.0,China,,,
Marketing Analyst,1.0,2.0,40000.0,Australia,,,
Operations Manager,1.0,9.0,100000.0,UK,,,
Data Scientist,3.0,15.0,150000.0,USA,,,
Marketing Coordinator,1.0,3.0,55000.0,Canada,,,
Business Analyst,1.0,10.0,110000.0,China,,,
Director Of Marketing,2.0,21.0,180000.0,China,,,
Business Development Associate,1.0,3.0,50000.0,China,,,
Financial Analyst,1.0,12.0,130000.0,Australia,,,
Ux Designer,3.0,16.0,160000.0,Australia,,,
Product Manager,1.0,4.0,60000.0,Canada,,,
Marketing Manager,1.0,8.0,95000.0,China,,,
Director Of Operations,2.0,19.0,170000.0,China,,,
Project Manager,1.0,2.0,40000.0,UK,,,
Operations Coordinator,1.0,7.0,90000.0,UK,,,
Business Analyst,3.0,15.0,150000.0,UK,,,
Marketing Specialist,1.0,5.0,70000.0,UK,,,
Financial Manager,1.0,8.0,90000.0,Australia,,,
Director Of Marketing,2.0,18.0,170000.0,China,,,
Financial Analyst,1.0,3.0,50000.0,UK,,,
Product Manager,1.0,14.0,150000.0,Canada,,,
Data Engineer,3.0,16.0,160000.0,Canada,,,
Business Analyst,1.0,4.0,60000.0,Canada,,,
Marketing Analyst,1.0,8.0,85000.0,Canada,,,
Director Of Engineering,2.0,19.0,180000.0,China,,,
Operations Manager,1.0,1.0,35000.0,Canada,,,
Business Development Manager,1.0,8.0,110000.0,USA,,,
Data Scientist,3.0,16.0,160000.0,China,,,
Marketing Coordinator,1.0,3.0,55000.0,Canada,,,
Business Analyst,1.0,10.0,110000.0,Canada,,,
Director Of Marketing,2.0,21.0,180000.0,Canada,,,
Business Development Associate,1.0,3.0,50000.0,Canada,,,
Financial Analyst,1.0,12.0,130000.0,USA,,,
Ux Designer,3.0,16.0,160000.0,UK,,,
Product Manager,1.0,4.0,60000.0,Canada,,,
Marketing Manager,1.0,8.0,95000.0,UK,,,
Director Of Operations,2.0,19.0,170000.0,UK,,,
Project Manager,1.0,2.0,40000.0,Australia,,,
Operations Coordinator,1.0,7.0,90000.0,China,,,
Business Analyst,3.0,15.0,150000.0,UK,,,
Marketing Specialist,1.0,5.0,70000.0,Canada,,,
Financial Manager,1.0,8.0,90000.0,China,,,
Director Of Marketing,2.0,18.0,170000.0,Canada,,,
Financial Analyst,1.0,3.0,50000.0,Canada,,,
Product Manager,1.0,14.0,150000.0,China,,,
Data Engineer,3.0,16.0,160000.0,Australia,,,
Business Analyst,1.0,4.0,60000.0,UK,,,
Marketing Analyst,1.0,8.0,85000.0,China,,,
Director Of Operations,2.0,19.0,170000.0,China,,,
Project Manager,1.0,2.0,40000.0,USA,,,
Operations Coordinator,1.0,7.0,90000.0,China,,,
Business Analyst,3.0,15.0,150000.0,UK,,,
Data Scientist,2.0,6.0,160000.0,Australia,,,
Software Engineer,1.0,3.0,125000.0,Canada,,,
Product Manager,2.0,2.0,120000.0,China,,,
Data Analyst,1.0,2.0,110000.0,UK,,,
Data Scientist,3.0,5.0,180000.0,China,,,
Software Engineer,1.0,4.0,140000.0,Australia,,,
Product Manager,1.0,7.0,170000.0,USA,,,
Data Analyst,2.0,1.0,100000.0,China,,,
Data Scientist,3.0,8.0,190000.0,UK,,,
Software Engineer,1.0,6.0,155000.0,UK,,,
Product Manager,2.0,3.0,130000.0,Canada,,,
Data Analyst,1.0,5.0,145000.0,USA,,,
Data Scientist,3.0,2.0,115000.0,USA,,,
Software Engineer,1.0,4.0,140000.0,USA,,,
Product Manager,1.0,9.0,185000.0,China,,,
Data Analyst,2.0,1.0,100000.0,Australia,,,
Data Scientist,3.0,8.0,190000.0,Canada,,,
Software Engineer,1.0,6.0,155000.0,UK,,,
Product Manager,2.0,3.0,130000.0,Australia,,,
Data Analyst,1.0,5.0,145000.0,Australia,,,
Software Engineer,1.0,3.0,125000.0,China,,,
Product Manager,2.0,2.0,120000.0,USA,,,
Data Analyst,1.0,2.0,110000.0,USA,,,
Data Scientist,3.0,5.0,180000.0,China,,,
Software Engineer,1.0,4.0,140000.0,USA,,,
Product Manager,1.0,7.0,170000.0,China,,,
Data Analyst,2.0,1.0,100000.0,Australia,,,
Data Scientist,3.0,8.0,190000.0,Canada,,,
Software Engineer,1.0,6.0,155000.0,Australia,,,
Product Manager,2.0,3.0,130000.0,Canada,,,
Data Analyst,1.0,5.0,145000.0,Canada,,,
Data Scientist,3.0,2.0,115000.0,UK,,,
Software Engineer,1.0,4.0,140000.0,Australia,,,
Product Manager,1.0,9.0,185000.0,Canada,,,
Data Analyst,2.0,1.0,100000.0,China,,,
Data Scientist,3.0,8.0,190000.0,UK,,,
Software Engineer,1.0,6.0,155000.0,Australia,,,
Product Manager,2.0,3.0,130000.0,Canada,,,
Data Analyst,1.0,5.0,145000.0,Canada,,,
Software Engineer,1.0,3.0,125000.0,Australia,,,
Product Manager,2.0,2.0,120000.0,USA,,,
Data Analyst,1.0,2.0,110000.0,Australia,,,
Data Scientist,3.0,5.0,180000.0,Canada,,,
Software Engineer,1.0,4.0,140000.0,Australia,,,
Product Manager,1.0,7.0,170000.0,USA,,,
Data Analyst,2.0,1.0,100000.0,Canada,,,
Data Scientist,3.0,8.0,190000.0,Australia,,,
Software Engineer,1.0,6.0,155000.0,China,,,
Product Manager,2.0,3.0,130000.0,UK,,,
Data Analyst,1.0,5.0,145000.0,China,,,
Data Scientist,3.0,2.0,115000.0,Australia,,,
Software Engineer,1.0,4.0,140000.0,China,,,
Product Manager,1.0,9.0,185000.0,China,,,
Data Analyst,2.0,1.0,100000.0,China,,,
Data Scientist,3.0,8.0,190000.0,USA,,,
Software Engineer,1.0,6.0,155000.0,Australia,,,
Product Manager,2.0,3.0,130000.0,Australia,,,
Data Analyst,1.0,5.0,145000.0,Australia,,,
Software Engineer,1.0,3.0,125000.0,Canada,,,
Product Manager,2.0,2.0,120000.0,UK,,,
Data Analyst,1.0,2.0,110000.0,China,,,
Data Scientist,3.0,5.0,180000.0,USA,,,
Software Engineer,1.0,4.0,140000.0,Canada,,,
Product Manager,1.0,7.0,170000.0,China,,,
Data Analyst,2.0,1.0,100000.0,Australia,,,
Data Scientist,3.0,8.0,190000.0,USA,,,
Software Engineer,1.0,6.0,155000.0,China,,,
Product Manager,2.0,3.0,130000.0,USA,,,
Data Analyst,1.0,5.0,145000.0,USA,,,
Data Scientist,3.0,2.0,115000.0,China,,,
Software Engineer,1.0,4.0,140000.0,USA,,,
Product Manager,1.0,9.0,185000.0,China,,,
Data Analyst,2.0,1.0,100000.0,UK,,,
Data Scientist,3.0,8.0,190000.0,UK,,,
Software Engineer,1.0,6.0,155000.0,Australia,,,
Product Manager,2.0,3.0,130000.0,USA,,,
Data Analyst,1.0,5.0,145000.0,Australia,,,
Data Scientist,3.0,2.0,115000.0,China,,,
Software Engineer,1.0,4.0,140000.0,USA,,,
Product Manager,1.0,9.0,185000.0,UK,,,
Data Analyst,2.0,1.0,100000.0,Australia,,,
Data Scientist,3.0,8.0,190000.0,China,,,
Software Engineer,1.0,6.0,155000.0,USA,,,
Product Manager,2.0,3.0,130000.0,Canada,,,
Data Analyst,1.0,5.0,145000.0,Australia,,,
Software Engineer,1.0,3.0,125000.0,Australia,,,
Product Manager,2.0,2.0,120000.0,Australia,,,
Data Analyst,1.0,2.0,110000.0,Australia,,,
Data Scientist,3.0,5.0,180000.0,USA,,,
Software Engineer,1.0,4.0,140000.0,USA,,,
Product Manager,1.0,7.0,170000.0,Canada,,,
Data Analyst,2.0,1.0,100000.0,UK,,,
Data Scientist,3.0,8.0,190000.0,China,,,
Software Engineer,1.0,6.0,155000.0,USA,,,
Product Manager,2.0,3.0,130000.0,UK,,,
Data Analyst,1.0,5.0,145000.0,Australia,,,
Data Scientist,3.0,2.0,115000.0,Australia,,,
Software Engineer,1.0,4.0,140000.0,China,,,
Product Manager,1.0,9.0,185000.0,China,,,
Data Analyst,2.0,1.0,100000.0,Canada,,,
Data Scientist,3.0,8.0,190000.0,UK,,,
Software Engineer,1.0,6.0,155000.0,UK,,,
Product Manager,2.0,3.0,130000.0,UK,,,
Data Analyst,1.0,5.0,145000.0,China,,,
Data Scientist,3.0,2.0,115000.0,UK,,,
Software Engineer,1.0,4.0,140000.0,China,,,
Product Manager,1.0,9.0,185000.0,China,,,
Data Analyst,2.0,1.0,100000.0,UK,,,
Data Scientist,3.0,8.0,190000.0,UK,,,
Software Engineer,1.0,6.0,155000.0,China,,,
Product Manager,2.0,3.0,130000.0,Canada,,,
Data Analyst,1.0,5.0,145000.0,USA,,,
Data Scientist,3.0,2.0,115000.0,UK,,,
Software Engineer,1.0,4.0,140000.0,USA,,,
Product Manager,1.0,9.0,185000.0,Australia,,,
Data Analyst,2.0,1.0,100000.0,Australia,,,
Data Scientist,3.0,8.0,190000.0,Canada,,,
Software Engineer,1.0,6.0,155000.0,Australia,,,
Product Manager,2.0,3.0,130000.0,Canada,,,
Data Analyst,1.0,5.0,145000.0,China,,,
Data Scientist,3.0,2.0,115000.0,Australia,,,
Software Engineer,1.0,4.0,140000.0,China,,,
Product Manager,1.0,9.0,185000.0,Canada,,,
Data Analyst,2.0,1.0,100000.0,China,,,
Data Scientist,3.0,8.0,190000.0,UK,,,
Software Engineer,1.0,6.0,155000.0,USA,,,
Product Manager,2.0,3.0,130000.0,Australia,,,
Data Analyst,1.0,5.0,145000.0,USA,,,
Data Scientist,3.0,2.0,115000.0,UK,,,
Software Engineer,1.0,4.0,140000.0,Canada,,,
Product Manager,1.0,9.0,185000.0,Australia,,,
Data Analyst,1.0,3.0,130000.0,Australia,,,
Data Scientist,2.0,6.0,180000.0,UK,,,
Software Engineer,1.0,8.0,190000.0,Australia,,,
Product Manager,1.0,4.0,150000.0,UK,,,
Data Analyst,1.0,1.0,90000.0,China,,,
Data Scientist,2.0,9.0,195000.0,UK,,,
Software Engineer,1.0,5.0,160000.0,China,,,
Product Manager,2.0,11.0,198000.0,USA,,,
Data Analyst,1.0,2.0,110000.0,USA,,,
Data Scientist,3.0,7.0,185000.0,China,,,
Software Engineer,1.0,4.0,140000.0,UK,,,
Product Manager,2.0,12.0,196000.0,China,,,
Data Analyst,1.0,1.0,95000.0,China,,,
Data Scientist,3.0,10.0,193000.0,Australia,,,
Software Engineer,1.0,6.0,175000.0,Australia,,,
Product Manager,1.0,5.0,160000.0,Australia,,,
Data Analyst,1.0,3.0,130000.0,Canada,,,
Data Scientist,2.0,6.0,180000.0,China,,,
Software Engineer,1.0,5.0,160000.0,USA,,,
Product Manager,2.0,11.0,198000.0,UK,,,
Data Analyst,1.0,1.0,90000.0,China,,,
